"","EN","UA","COMM"
"90","adenovirus","аденовірус",NA
"91","adhesion","спайка",NA
"92","adhesive paper","клейкий папір",NA
"93","adhesive (sticking) plaster","липкий пластир",NA
"94","adhesive (slicking) plaster","лейкопластир",NA
"95","adiaphorous","нешкідливий",NA
"96","adipose capsule","жирова капсула",NA
"97","adiposogenital dystrophy","гіпофізарне ожиріння",NA
"98","adipsy","нездатність відчувати спрагу",NA
"99","administer intravenously","робити внутрішньовенне вливання",NA
"100","administration of physical therapy","призначення фізіотерапії",NA
"101","adnexitis","аднексит",NA
"102","adolescaria","адолескарій",NA
"103","adolescent psychiatry","підліткова психіатрія",NA
"104","adrenal gland","надниркова залоза",NA
"105","adrenergic drug","адренергетик",NA
"106","adrenocorticotropic hormone","адренокортикотропін",NA
"107","advanced tumor","запущена пухлина",NA
"108","adventitial pericapillary","маршанова клітина",NA
"109","adventitious","набутий",NA
"110","adverse reaction","побічна дія",NA
"111","adynamia","слабкість",NA
"112","adynamia","втрата сил",NA
"113","adynamia","безсилля",NA
"114","adynamia","фізична прострація",NA
"115","adynamic","астенічний",NA
"116","aeroallergen","аероалерген",NA
"117","aeroembolism","кесонна хвороба",NA
"118","aerophobia","аерофобія",NA
"119","aerosinusitis","пневмосинусит",NA
"120","aerospace medicine","авіакосмічна медицина",NA
"121","affection","враження",NA
"122","affection","ураження",NA
"123","after operation","післяопераційний",NA
"124","after-pain","післяпологові перейми",NA
"125","after-treatment","наступне лікування",NA
"126","after-treatment","доліковування",NA
"127","afterbirth","дитяче місце",NA
"128","afterbirth hematoma","пологова гематома",NA
"129","agalactia","відсутність молока",NA
"130","agalactia","агалактія",NA
"131","agalactous","що не має молока",NA
"132","agalactous","безмолочний",NA
"133","aganglionosis","агангліоз",NA
"134","age-related changes","вікові зміни",NA
"135","agennesis","безплідність",NA
"136","agennesis","статева немічність",NA
"137","agglutination","злипання",NA
"138","aglossia","аглосія",NA
"139","aglutition","болісне ковтання",NA
"140","agnail","нігтьоїда",NA
"141","ague","озноб",NA
"142","ague fit","приступ пропасниці",NA
"143","ague-spleen","збільшена селезінка",NA
"144","ague-spleen","малярійна селезінка",NA
"145","aguish","гарячковий",NA
"146","aguish","малярійний",NA
"147","aguish","схильний до захворювання на малярію",NA
"148","aguish","переміжний",NA
"149","air cystography","пневмоцистографія",NA
"150","air medical service","санітарна авіація",NA
"151","air pressure fall","падіння атмосферного тиску",NA
"152","air stream","повітряний потік",NA
"153","air vesicle","альвеола легені",NA
"154","air-cure","аеротерапія",NA
"155","airbrasive","піскоструминна бормашина",NA
"156","airways obstruction","непрохідність дихальних шляхів",NA
"157","akinesia","акінезія",NA
"158","akinesia","втрата здатності рухатися",NA
"159","akinesia","акінез",NA
"160","akinospermia","акіноспермія",NA
"161","alcoholize","обробляти спиртом",NA
"162","aleukia","алейкія",NA
"163","alexia","алексія",NA
"164","alexia","втрата здатності читати",NA
"165","algetic","болючий",NA
"166","algetic","больовий",NA
"167","algia","алгія","Yanamahan"
"168","algor","холод",NA
"169","algor","відчуття холоду",NA
"170","alimentary anemia","дефіцитна анемія",NA
"171","alimentary canal","травний канал",NA
"172","alimentary canal","стравохідний тракт",NA
"173","allay pain","заспокоювати біль",NA
"174","allergic","алергічний",NA
"175","allergic reaction","алергічна реакція",NA
"176","allergy","алергія",NA
"177","allergy","підвищена чутливість",NA
"178","allergy shots","алерговакцинація","Yanamahan"
"179","allergy vaccine","аллерговакцина","Yanamahan"
"180","alligator forceps","щипці-крокодил",NA
"181","alluvial soil","намивний шар",NA
"182","almond's milk","мигдальне молоко",NA
"183","alonychia","койлоніхія",NA
"184","alopecia","облисіння",NA
"185","alopecia","полисіння",NA
"186","alopecia","плішивість",NA
"187","alopecia totalis","генералізована алопеція",NA
"188","alopecia universalis","генералізована алопеція",NA
"189","alterative","зміцнюючий засіб",NA
"190","altitude sickness","висотна хвороба",NA
"191","alveolar abscess","флюс",NA
"192","alveolar (dental) abscess","флюс",NA
"193","alveolar socket","альвеола зуба",NA
"194","alveolar socket","лунка зуба",NA
"195","amaurosis","повна сліпота",NA
"196","amaurosis","амавроз",NA
"197","amaurosis partialis fugax","неповна сліпота",NA
"198","ambient sound","звуковий супровід",NA
"199","ambiguous nucleus","подвійне ядро",NA
"200","amblosis","викидень",NA
"201","ambulant","амбулаторний",NA
"202","congestion","прилив",NA
"203","congestion","приплив",NA
"204","gangrene","помертвіння",NA
"205","grafting","трансплантація",NA
"206","prolapse","пролабувати",NA
"207","restorative","що приводить до пам'яті",NA
"208","suture","накладення швів",NA
"209","suture","зшити",NA
"210","suture","прошивати",NA
"211","suture","прошити",NA
"212","tap","вистукати",NA
"213","transplant","пересадити",NA
"214","transplant","трансплантат",NA
"215","vaccinate","прищеплювати",NA
"216","vaccinate","щепити",NA
"217","vaccinate","імунізувати",NA
"218","amniotic sac","водна оболонка",NA
"219","amphiarthrosis","малорухомий суглоб",NA
"220","amphiaster","діастер",NA
"221","amphibolic","хиткий",NA
"222","amphibolic","неясний",NA
"223","amphibolic","сумнівний",NA
"224","amphodontitis","амфодонтит",NA
"225","amphodontitis","перицементит",NA
"226","amphodontosis","парадентит",NA
"227","amphodontosis","пародонтоз",NA
"228","amphykaryon","амфікаріон",NA
"229","ampoule","ампула",NA
"230","ampule injector","ампульний шприц",NA
"231","amputate","відтинати",NA
"232","amputate","ампутувати",NA
"233","amputation","ампутація",NA
"234","amputation","відтинання",NA
"235","amputation","відокремлення",NA
"236","amputation","відсікання",NA
"237","amygdala","мигдалеподібне тіло","Igor Lukyanov"
"238","anaemia","анемія",NA
"239","anaemia","недокрів'я",NA
"240","anaemia","бліда неміч",NA
"241","anaemic","анемічний",NA
"242","anaemic","недокрівний",NA
"243","anaesthesia","анестезія",NA
"244","anaesthesia","знеболювання",NA
"245","anaesthesia","наркоз",NA
"246","anaesthesiology","анестезіологія",NA
"247","anaesthetic","анестезуючий засіб",NA
"248","anaesthetic","знеболювальний засіб",NA
"249","anaesthetic","анестезувальний",NA
"250","anaesthetic","протибольовий",NA
"251","anaesthetist","наркотизатор",NA
"252","anaesthetist","анестезіолог",NA
"253","anaesthetist","анестезист",NA
"254","anaesthetization","знеболювання",NA
"255","anal atresia","анальна атрезія",NA
"256","anal atresia","неперфорований анус",NA
"257","anal fissure","анальна тріщина",NA
"258","anaplasty","пластична хірургія",NA
"259","anaplasty","пересаджування",NA
"260","anaplasty","пересадка",NA
"261","anasarca","водянка шкіри",NA
"262","anasarca","анасарка",NA
"263","anastatic","відновний",NA
"264","anatomical pathology","патологічна анатомія",NA
"265","anatripsis","втирання",NA
"266","anbury","фурункул",NA
"267","anchylosis","анкілоз",NA
"268","anchylosis","нерухливість суглоба",NA
"269","androblastoma","маскулінома",NA
"270","androgenic hormone","андрогенний гормон",NA
"271","anemia","анемія",NA
"272","anemia gravis","апластична анемія",NA
"273","anesis","зменшення симптомів",NA
"274","anesthesia","анестезія",NA
"275","anesthesia","знеболювання",NA
"276","anesthesia","наркоз",NA
"277","anesthesiology","анестезіологія",NA
"278","angina acuta","гостра ангіна",NA
"279","angina gangrenosa","гангренозна ангіна",NA
"280","angina pectoris","серцева астма",NA
"281","angiocardiographic image","ангіокардіограма",NA
"282","angiocardiographic image","вазокардіограма",NA
"283","angiocardiography","ангіокардіографія",NA
"284","angiogenesis","ангіогенез","Yuriy Sokha"
"285","angiogenic sclerosis","васкулярний склероз",NA
"286","angiogram","ангіограма",NA
"287","angiographic image","вазограма",NA
"288","angiographic picture","вазограма",NA
"289","angioneurotic edema","ангіоневротичний набряк",NA
"290","angor","стиснення",NA
"291","angulation","осьове відхилення",NA
"292","anhelation","задишка",NA
"293","anilinction","анілінгус",NA
"294","anilinction","анілінгція",NA
"295","anilinctus","анілінгція",NA
"296","anilingus","анілінгус",NA
"297","aniridia","аніридія",NA
"298","ankylosing spondylitis","анкілозивний спондилоартрит","VladStrannik"
"299","ankylosis","анкілоз",NA
"300","ankylosis","нерухомість суглоба",NA
"301","ankylostomiasis and necatoriasis","анкілостомідоз",NA
"302","annoying desire","нав'язливий потяг",NA
"303","annoying drive","нав'язливий потяг",NA
"304","annular","персневидний",NA
"305","anodyne","заспокійливий",NA
"306","anodyne","протибольовий",NA
"307","anoplocephalidose","аноплоцефалідоз",NA
"308","anorectal syndrome","аноректальний синдром",NA
"309","anorexia","відсутність апетиту",NA
"310","anorthography","аграфія",NA
"311","anosmia","втрата нюху",NA
"312","anoxaemia","недостача кисню",NA
"313","anoxaemia","кисневе голодування",NA
"314","anoxia","недостача кисню",NA
"315","anoxia","кисневе голодування",NA
"316","antagonistic muscles","м'язи-антагоністи",NA
"317","antecubital fossa","ліктьова ямка","SergiusT"
"318","anterior bowing of tibia","шаблеподібна гомілка",NA
"319","anterior tibial artery","передня великогомілкова артерія","SergiusT"
"320","anteroposterior","передньозадній",NA
"321","antethoracic approach","антеторакальний доступ",NA
"322","anteversion","зміщення уперед",NA
"323","anthelmintic","глистогінний засіб",NA
"324","Anthony's fire","антонів огонь",NA
"325","Anthony's fire","гангрена",NA
"326","anthrax","карбункул",NA
"327","anthrax","чумний нарив",NA
"328","anti-inflammatory","протизапальний",NA
"329","antiallergen","антиалерген",NA
"330","antiarthritic","протиломотний",NA
"331","antibilious","протижовчний",NA
"332","antibiotic prophylaxis","антибіотикопрофілактика",NA
"333","antibody producer","антитілопродуцент",NA
"334","anticholeric","протихолерний",NA
"335","anticipation","передчасне настання",NA
"336","anticoagulant","що затримує скипання крові",NA
"337","anticonvulsive drug","спазмолітичний препарат",NA
"338","antidotal treatment","застосування протиотрути",NA
"339","antidotal treatment","застосовування протиотрути",NA
"340","antidote","антидот",NA
"341","antiepidemic","протиепідемічний",NA
"342","antifebrile","протигарячковий",NA
"343","antifertility agent","контрацептивний засіб",NA
"344","antigen determinant","антигенна детермінанта",NA
"345","antigenic determinant","антигенна детермінанта",NA
"346","antigrippal serum","протигрипозна сироватка",NA
"347","antihelminthic","глистогінний засіб",NA
"348","antihelminthic","протиглисний",NA
"349","antihelminthic","протиглистовий",NA
"350","antilymphocyt serum","антилімфоцитарна сиворотка",NA
"351","antilymphocytic serum","антилімфоцитарна сиворотка",NA
"352","antimalarial","протималярійний",NA
"353","antineoplastic","протипухлинний",NA
"354","antineoplastic","протираковий",NA
"355","antiobesity agent","засіб проти ожиріння",NA
"356","antiphlogistic","протизапальний",NA
"357","antiplague","протичумний",NA
"358","antipyretic","жарознижуючий засіб",NA
"359","antisepsis","антисептика",NA
"360","antiseptic gargle","дезінфекційне полоскання",NA
"361","antispasmodic","протисудомний",NA
"362","antispasmodic","протисудорожний",NA
"363","antitetanic","протиправцевий",NA
"364","antitetanus","протиправцевий",NA
"365","antithrombin agents","антитромботичні засоби","Lviv_linguist"
"366","antitubercular","протитуберкульозний",NA
"367","antituberculous","протитуберкульозний",NA
"368","antitumor antibiotic","протипухлинний антибіотик",NA
"369","antityphoid vaccine","протитифозна вакцина",NA
"370","antivenereal","противенеричний",NA
"371","antiviral therapy","антивірусотерапія",NA
"372","antivirulent","протиотрута",NA
"373","antritis","гайморит",NA
"374","anury","анурія",NA
"375","anxiety dreams","кошмарні сновидіння",NA
"376","aortic pressure","внутрішньоаортальний тиск",NA
"377","aortic rupture","розрив аорти",NA
"378","apareunia","апареунія",NA
"379","aperient","проносне",NA
"380","aperient","проносний",NA
"381","aperture stop","поділка шкали діафрагми",NA
"382","aphacia","афакія",NA
"383","aphakia","афакія",NA
"384","aphasia","афазія",NA
"385","aphasia","втрата мови",NA
"386","aphilanthropy","антропофобія",NA
"387","aphonia","афонія",NA
"388","aphonia","втрата голосу",NA
"389","aphony","афонія",NA
"390","aphony","втрата голосу",NA
"391","aphrodisia","афродизія",NA
"392","aphrodisiac","засіб, що посилює статеве почуття",NA
"393","aphtha","афти",NA
"394","aphthae","афти",NA
"395","aphthongia","афтонгія",NA
"396","apical body","акросома",NA
"397","apical granuloma","гранулема кореня зуба",NA
"398","apoplectic seizure","удар",NA
"399","apoplectic stroke","удар",NA
"400","apoplectic stroke","інсульт",NA
"401","apoplectical","апоплексичний",NA
"402","apoplectical","схильний до апоплексії",NA
"403","apoplexy","апоплексичний удар",NA
"404","apoplexy","параліч органа",NA
"405","apoplexy","апоплексія мозку",NA
"406","apoplexy","апоплексія",NA
"407","apothemnophilia","апотемнофілія",NA
"408","apparent (clinical) death","клінічна смерть",NA
"409","apparent (visible, sensible) horizon","видимий горизонт",NA
"410","appear double","двоїтися",NA
"411","appendicitis","апендицит",NA
"412","appendicular","апендикулярний",NA
"413","application of tourniquet","накладення джгута",NA
"414","applicator","інструмент для введення лікувального засобу в порожнину",NA
"415","applicator","аплікатор",NA
"416","apply a dressing","зробити перев'язку",NA
"417","apply cupping glasses","ставити банки",NA
"418","artificial sunlight","гірське сонце",NA
"419","asbestosis","азбестоз",NA
"420","ascariasis","аскаридоз",NA
"421","ascarid","глист",NA
"422","ascites","асцит",NA
"423","aseptic meningitis","вірусний менінгіт",NA
"424","asexual reproduction","безстатеве розмноження",NA
"425","ashy (deadly) pale","помертвілий",NA
"426","aspergillus toxicosis","аспергілотоксикоз",NA
"427","asphyxia","асфіксія",NA
"428","asphyxia","ядуха",NA
"429","asphyxia","відсутність дихання",NA
"430","asphyxia","задушення",NA
"431","asphyxy","асфіксія",NA
"432","asphyxy","ядуха",NA
"433","asphyxy","відсутність дихання",NA
"434","aspirate","відсмоктувати (рідину тощо) з порожнини за допомогою аспіратора",NA
"435","aspiration","відсмоктування з порожнини",NA
"436","assay kit","набір реактивів",NA
"437","assistive technology","ортопедичні й реабілітаційні засоби","Igor Lukyanov"
"438","autoclave room","стерилізаційне відділення",NA
"439","autograft","аутотрансплантат",NA
"440","autoimmune epitope","аутодетермінанта",NA
"441","autoinfection","самозараження",NA
"442","autoinfection","аутоінфекція",NA
"443","autointoxication","самоотруєння організму",NA
"444","autointoxication","автоінтоксикація",NA
"445","autointoxication","аутоінтоксикація",NA
"446","automobile-pedestrian accident","наїзд автомобіля на пішохода",NA
"447","autonomic ganglions","вегетативні вузли",NA
"448","autoplasty","пересадка тканини самого хворого",NA
"449","autoplasty","аутопластика",NA
"450","autopsy","розтин трупа",NA
"451","autopsy","аутопсія",NA
"452","autopsy","розтин",NA
"453","autopsy material","секційний матеріал",NA
"454","autotransfusion","автотрансфузія",NA
"455","autourine test","аутоуротест",NA
"456","aviator's ear","аероотит",NA
"457","avitaminosis","авітаміноз",NA
"458","basilar meningitis","базальний менінгіт",NA
"459","basilyst","краніотом",NA
"460","basin recharge","поповнення підземних вод",NA
"461","basiotribe","базіотриб",NA
"462","basiotribe","краніотрактор",NA
"463","basophil","тигроїд",NA
"464","basophil leukopenia","базопенія",NA
"465","Bassen-Kornzweig syndrome","абеталіпопротеїнемія",NA
"466","be badly wounded","бути сильно пораненим",NA
"467","be crushed","зім'ятися",NA
"468","be discharged from the hospital","виписуватися з лікарні",NA
"469","be divided","ділитися",NA
"470","be divided","розділитися",NA
"471","be divided","розділятися",NA
"472","be repeated","повторитися",NA
"473","be repeated","повторюватися",NA
"474","be repeated","повторятися",NA
"475","be (to get) X-rayed","просвітитися",NA
"476","be (to get) X-rayed","просвічуватися",NA
"477","beam therapy","дистанційна променева терапія",NA
"478","biliary cirrhosis","біліарний цироз печінки",NA
"479","biliary (tract) obstruction","непрохідність жовчних шляхів",NA
"480","bilious attack","розлиття жовчі",NA
"481","bilious temperament","холеричний темперамент",NA
"482","bilious vomiting","блювання жовчу",NA
"483","biliousness","розлиття жовчі",NA
"484","bilirubin","білірубін",NA
"485","bilirubin infarct","білірубіновий інфаркт",NA
"486","bind","закріпити шлунок",NA
"487","bind","викликати запор",NA
"488","binder","начеревник",NA
"489","Biological medicinal products","Біологічні лікарські препарати","Volk2401"
"490","biological prosthesis","біопротез",NA
"491","Biomphalaria","біомфалярія",NA
"492","biopsy","біопсія",NA
"493","biopsy material","біоптат",NA
"494","bioviser","біовізор",NA
"495","biovision","біовізор",NA
"496","bird face","брахігнатія",NA
"497","bird-egg syndrome","ліветинова алергія",NA
"498","blocked-up","закладений","andriy f"
"499","blocking","провал у пам'яті",NA
"500","blocking","перерва в ході думок",NA
"501","blood capillary","кровоносний капіляр",NA
"502","blood cells","кров'яні тільця",NA
"503","blood circulation","циркуляція крові",NA
"504","blood clot","кров'яний згусток",NA
"505","blood cyst","гематоциста",NA
"506","blood draw","взяття крові",NA
"507","blood drawing","взяття крові",NA
"508","blood dust","гемоконія",NA
"509","blood flow","кровотік",NA
"510","blood grouping","визначення групи крові",NA
"511","blood lancet","голка-скарифікатор",NA
"512","blood oxygenator","оксигенатор крові",NA
"513","blood picture","гемограма",NA
"514","blood plasma","плазма крові",NA
"515","blood poisoning","зараження крові",NA
"516","blood poisoning","гнилокрів'я",NA
"517","blood pressure","артеріальний тиск",NA
"518","botched boobs","невдала пластика грудей","Yanamahan"
"519","bottom topography","рельєф дна",NA
"520","botulism","ботулізм",NA
"521","bound","хворий на запор",NA
"522","boundary psychiatry","погранична психіатрія",NA
"523","boutonniere","бутоньєр",NA
"524","bowel habits","ритм спорожнення кишечника","Yanamahan"
"525","bowel perforation","перфорація кишки",NA
"526","box receptacle","приймальний бокс",NA
"527","bracer","бандаж",NA
"528","brachial artery","плечова артерія",NA
"529","brachydactyly","короткопалість",NA
"530","bradyphrenia","уповільнене мислення",NA
"531","brain damage","пошкодження головного мозку",NA
"532","brain edema","набряк головного мозку",NA
"533","brain stem","стовбур мозку",NA
"534","brain swelling","набряк головного мозку",NA
"535","brain swelling","набухання головного мозку",NA
"536","brainstem","стовбур мозку","Anuvadak"
"537","branchial (cleft) cyst","зяброва киста",NA
"538","by-action","побічна дія",NA
"539","bypass","шунт",NA
"540","bypass","шунтувати",NA
"541","bypass angiography","шунтографія",NA
"542","bypassing","шунтування",NA
"543","Bywaters' syndrome","краш-синдром",NA
"544","C bile","печінкова жовч",NA
"545","cabinet","камера",NA
"546","cacergasia","какергазія",NA
"547","cacesthesia","какестезія",NA
"548","cachectic","хворобливий",NA
"549","cachectic","виснажений",NA
"550","cachectic","хирлявий",NA
"551","cachectical","хворобливий",NA
"552","cachectical","виснажений",NA
"553","cachectical","хирлявий",NA
"554","cachexy","виснаження",NA
"555","cachexy","знесилення",NA
"556","cacosmia","какосмія",NA
"557","cadaveric blood","трупна кров",NA
"558","capillaroscopy","капіляроскопія",NA
"559","capillary bronchitis","бронхіоліт",NA
"560","capillary tube assay","капілярний аналіз",NA
"561","capitate bone","головчаста кістка",NA
"562","Caplan's cardinal line","кардинальна лінія Каплана","SergiusT"
"563","capsicum plaster","перцевий пластир",NA
"564","capsid","оболонка віруса",NA
"565","capsule forceps","капсульний пінцет",NA
"566","capsulitis","капсуліт",NA
"567","capsulotomy","капсулотомія",NA
"568","caput quadratum","рахітична форма черепа",NA
"569","carbonic acid water","вуглекисла вода",NA
"570","carbuncle","карбункул",NA
"571","carcinemia","карцинемія",NA
"572","carcinogen","канцерогенна речовина",NA
"573","carcinoma","ракове новоутворення",NA
"574","carcinoma","карцинома",NA
"575","carcinoma","рак",NA
"576","carcinomatosis","карциноматоз",NA
"577","carcinosarcoma","карциносаркома",NA
"578","caseous pneumonia","казеозна пневмонія",NA
"579","casting-off","відторгнення",NA
"580","castration","емаскуляція",NA
"581","casual","потерпілий від нещасного випадку",NA
"582","casually","смерть від нещасного випадку",NA
"583","casually","смерть від поранення",NA
"584","casualty helicopter","санітарний вертоліт",NA
"585","CAT scan","томограма",NA
"586","CAT scanner","томограф",NA
"587","CAT scanning","томографія",NA
"588","catalepsy","каталепсія",NA
"589","catalepsy","правець",NA
"590","cataleptic","каталептичний",NA
"591","cataphasia","катафазія",NA
"592","cataplasia","катаплазія",NA
"593","cataplasis","катаплазія",NA
"594","cataplasm","припарка",NA
"595","cataract","катаракта",NA
"596","cataract","катаракт а",NA
"597","cataractous","катарактний",NA
"598","cell division","ділення клітин",NA
"599","cellular pathology","целюлярна патологія",NA
"600","cellular pathology","цитопатологія",NA
"601","cellulitis","целюліт",NA
"602","celothelioma","целотеліома",NA
"603","cenestopathy","сенестопатія",NA
"604","center","середня точка тіла",NA
"605","central direct vision","макулярний зір",NA
"606","central meridian","осьовий меридіан",NA
"607","central nervous system","центральна нервова система",NA
"608","central osteitis","остеомієліт",NA
"609","centre","середня точка тіла",NA
"610","cephalalgia","головний біль",NA
"611","cephalalgic","засіб від головного болю",NA
"612","cephalgia","цефалгія",NA
"613","cephalic vein","головна вена",NA
"614","cephalitis","енцефаліт",NA
"615","cephalitis","запалення головного мозку",NA
"616","cephalocele","мозкова грижа",NA
"617","cephalography","кефалографія",NA
"618","cheiloplasty","хейлопластика",NA
"619","cheilosis","хейлоз",NA
"620","chelate","хелат",NA
"621","chemotherapeutic","хіміотерапевтичний",NA
"622","chest cavity","грудна порожнина","Roksolana_Hrydnova"
"623","chest compressions","компресії грудної клітки","Anuvadak"
"624","chest pain","біль у грудях","Anuvadak"
"625","chest voice","грудний голос",NA
"626","chiasm","перехрестя",NA
"627","chicken pox","вітряна віспа",NA
"628","chicken pox","вітрянка",NA
"629","chicken-breasted","з курячими грудьми",NA
"630","chief doctor","головний лікар",NA
"631","child-crowing","ларингоспазм",NA
"632","childish convulsions","родимчик",NA
"633","children disease","дитяча хвороба",NA
"634","children's cancer сenter","дитяче онкологічне відділення","Yanamahan"
"635","children's clinic","дитяча консультація",NA
"636","chilling","легкий озноб",NA
"637","chills","озноб","Anuvadak"
"638","cilia","війки","Roksolana_Hrydnova"
"639","ciliary","циліарний",NA
"640","cineangiography","кіноангіографія",NA
"641","cinefluorography","кінофлюороскопія",NA
"642","cinefluoroscopy","кінофлюорографія",NA
"643","cinematization","кінепластика",NA
"644","cinematoradiography","кінофлюороскопія",NA
"645","cineplastics","кінепластика",NA
"646","cineplasty","кінепластика",NA
"647","cineradiography","кінофлюороскопія",NA
"648","cineroentgenography","кінофлюороскопія",NA
"649","cinesalgia","кінезалгія",NA
"650","cinesiatrics","кінезітерапія",NA
"651","cinesitherapy","кінезітерапія",NA
"652","cingulate gyrus","поясна звивина","Igor Lukyanov"
"653","circular field","обертове поле",NA
"654","circulatory gangrene","циркуляторна гангрена",NA
"655","circumanal","навколоанальний",NA
"656","circumcise","робити круговий розтин",NA
"657","circumcision","круговий розтин",NA
"658","clot of blood","тромб",NA
"659","cloth tourniquet","матер'яний джгут",NA
"660","cloud sheet","хмарний покрив",NA
"661","cloven foot","роздвоєне копито",NA
"662","clyster","клістир",NA
"663","clyster","клізма",NA
"664","clyster","ставити клізму",NA
"665","clyster pipe","клістирна трубка",NA
"666","coagulation necrosis","сухий некроз",NA
"667","coagulopathy","коагулопатія",NA
"668","coal dust","вугільний пил",NA
"669","coal-miner's lungs","антракоз легень",NA
"670","coalminer's lungs","антракоз легень",NA
"671","coarctation","коарктація",NA
"672","coast climate","приморський клімат",NA
"673","coast erysipelas","онхоцеркоз",NA
"674","cocainism","кокаїнізм",NA
"675","cochlear neuritis","неврит слухового нерва",NA
"676","cochleopathy","кохлеопатія",NA
"677","cock's comb","півнячий гребінь",NA
"678","commotio","комоція",NA
"679","commotion","комоція",NA
"680","community ambulator","працюючий хворий",NA
"681","comorbidity","супутнє захворювання","Lviv_linguist"
"682","compensation","відновлення",NA
"683","compensation","урівноваження",NA
"684","compensation therapy","компенсаційна терапія",NA
"685","complementary medicine","нетрадиційна медицина",NA
"686","complete (to finish) the cure","доліковувати",NA
"687","complicated disease","хвороба з ускладнення ми",NA
"688","complicated disease","ускладнене захворювання",NA
"689","complication","ускладнення",NA
"690","complulsive action","нав'язлива дія",NA
"691","compound fracture","відкритий перелом",NA
"692","compress","компрес",NA
"693","compress cotton","компресна вата",NA
"694","compromised function","порушення функції",NA
"695","compulsion neurosis","нав'язливий невроз",NA
"696","compulsive fixed thoughts","нав'язливі думки",NA
"697","compulsive personality","компульсивна особа",NA
"698","contagious (infectious) disease","заразна (інфекційна) хвороба",NA
"699","contagious patient","заразний хворий",NA
"700","contaminated surgery","гнійна хірургія",NA
"701","continence","континенція",NA
"702","continuous anesthesia","пролонгована анестезія",NA
"703","continuous suture","суцільний шов",NA
