REVIEW_PANEL|MEDICALSPECIALTY|PRODUCTCODE|DEVICENAME|DEVICECLASS|UNCLASSIFIED_REASON|GMPEXEMPTFLAG|THIRDPARTYFLAG|REVIEWCODE|REGULATIONNUMBER|SUBMISSION_TYPE_ID|DEFINITION|PHYSICALSTATE|TECHNICALMETHOD|TARGETAREA|Implant_Flag|Life_Sustain_support_flag|SummaryMalfunctionReporting
AN|AN|BZK|Spirometer, Monitoring (W/Wo Alarm)|2||N|Y||868.1850|1|||||N|N|Eligible
AN|AN|BZL|Computer, Oxygen-Uptake|2||N|Y||868.1730|1|||||N|N|Eligible
AN|AN|BZM|Calculator, Pulmonary Function Interpretor (Diagnostic)|2||N|Y||868.1900|1|||||N|N|Eligible
AN|AN|BZN|Cart, Emergency, Cardiopulmonary (Excluding Equipment)|1||Y|N||868.6175|4|||||N|N|Eligible
AN|AN|BZO|Set, Tubing And Support, Ventilator (W Harness)|1||N|N||868.5975|4|||||N|N|Eligible
AN|AN|BZQ|Monitor, Breathing Frequency|2||N|Y||868.2375|1|||||N|N|Eligible
AN|AN|BZR|Mixer, Breathing Gases, Anesthesia Inhalation|2||N|Y||868.5330|1|||||N|Y|Eligible
AN|AN|BZS|Stethoscope Head|1||N|N||868.1930|4|||||N|N|Eligible
AN|AN|BZT|Stethoscope, Esophageal, With Electrical Conductors|2||N|Y||868.1920|1|||||N|N|Eligible
AN|AN|BZW|Stethoscope, Esophageal|1||N|N||868.1910|4|||||N|N|Eligible
AN|AN|CAD|Vaporizer, Anesthesia, Non-Heated|2||N|Y||868.5880|1|||||N|N|Eligible
AN|AN|CAE|Airway, Oropharyngeal, Anesthesiology|1||N|N||868.5110|4|||||N|N|Eligible
AN|AN|CAF|Nebulizer (Direct Patient Interface)|2||N|N||868.5630|1|||||N|N|Eligible
AN|AN|CAG|Circulator, Breathing-Circuit|2||N|N||868.5250|1|||||N|Y|Eligible
AN|AN|CAI|Circuit, Breathing (W Connector, Adaptor, Y Piece)|1||N|N||868.5240|4|||||N|N|Eligible
AN|AN|CAL|Laryngoscope, Non-Rigid|1||N|N||868.5530|4|||||N|N|Eligible
AN|AN|CAM|Yoke Assembly, Medical Gas|1||N|N||868.6885|4|||||N|N|Eligible
AN|AN|CAN|Regulator, Pressure, Gas Cylinder|1||N|N||868.2700|4|||||N|N|Eligible
AN|AN|CAO|Airway, Esophageal (Obturator)|2||N|N||868.5650|1|||||N|Y|Eligible
AN|AN|CAP|Monitor, Airway Pressure (Includes Gauge And/Or Alarm)|2||N|Y||868.2600|1|||||N|N|Eligible
AN|AN|CAT|Cannula, Nasal, Oxygen|1||N|N||868.5340|4|||||N|N|Eligible
AN|AN|CAW|Generator, Oxygen, Portable|2||N|Y||868.5440|1|||||N|N|Eligible
AN|AN|CAX|Flowmeter, Tube, Thorpe, Back-Pressure Compensated|1||N|N||868.2340|4|||||N|N|Eligible
AN|AN|CAZ|Anesthesia Conduction Kit|2||N|Y||868.5140|1|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N|Eligible
AN|AN|CBA|Monitor, Air Embolism, Ultrasonic|2||N|Y||868.2025|1|||||N|N|Eligible
AN|AN|CBF|Chamber, Hyperbaric|2||N|Y||868.5470|1|||||N|Y|Eligible
AN|AN|CBG|Spreader, Cuff|1||Y|N||868.5760|4|||||N|N|Eligible
AN|AN|CBH|Device, Fixation, Tracheal Tube|1||N|N||868.5770|4|||||N|N|Eligible
AN|AN|CBI|Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)|2||N|N||868.5740|1|||||N|Y|Eligible
AN|AN|CBK|Ventilator, Continuous, Facility Use|2||N|N||868.5895|1|||||N|Y|Ineligible
AN|AN|CBL|Absorbent, Carbon-Dioxide|1||N|N||868.5300|4|||||N|N|Eligible
AN|AN|CBN|Apparatus, Gas-Scavenging|2||N|Y||868.5430|1|||||N|N|Eligible
AN|AN|CBO|Attachment, Intermittent Mandatory Ventilation (Imv)|2||N|N||868.5955|1|||||N|Y|Eligible
AN|AN|CBP|Valve, Non-Rebreathing|2||N|Y||868.5870|1|||||N|Y|Eligible
AN|AN|CBQ|Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)|2||N|Y||868.1500|1|||||N|N|Eligible
AN|AN|CBR|Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)|2||N|Y||868.1700|1|||||N|N|Eligible
AN|AN|CBS|Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)|2||N|Y||868.1620|1|||||N|N|Eligible
AN|AN|CBT|Arterial Blood Sampling Kit|1||N|N||868.1100|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N|Eligible
AN|AN|CBZ|Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling|2||N|Y||868.1170|1|||||N|N|Eligible
AN|AN|CCC|Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling|2||N|Y||868.1150|1|||||N|N|Eligible
AN|AN|CCE|Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling|2||N|Y||868.1200|1|||||N|N|Eligible
AN|AN|CCI|Analyzer, Gas, Nitrogen, Gaseous-Phase|2||N|Y||868.1690|1|||||N|N|Eligible
AN|AN|CCJ|Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase|2||N|Y||868.1430|1|||||N|N|Eligible
AN|AN|CCK|Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase|2||N|Y||868.1400|1|||||N|N|Eligible
AN|AN|CCL|Analyzer, Gas, Oxygen, Gaseous-Phase|2||N|Y||868.1720|1|||||N|N|Eligible
AN|AN|CCM|Plethysmograph, Pressure|2||N|Y||868.1750|1|||||N|N|Eligible
AN|AN|CCN|Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge|1||N|N||868.2300|4|||||N|N|Eligible
AN|AN|CCO|Bed, Rocking, Breathing Assist|2||N|N||868.5180|4|||||N|Y|Eligible
AN|AN|CCQ|Nebulizer, Medicinal, Non-Ventilatory (Atomizer)|1||N|N||868.5640|4|||||N|N|Eligible
AN|AN|CCT|Applicator (Laryngo-Tracheal), Topical Anesthesia|2||N|Y||868.5170|1|||||N|N|Eligible
AN|AN|CCW|Laryngoscope, Rigid|1||N|N||868.5540|4|||||N|N|Eligible
AN|AN|CCX|Support, Patient Position|1||N|N||868.6820|4|||||N|N|Eligible
AN|AN|ECX|Cylinder, Compressed Gas, And Valve|1||N|N||868.2700|4|||||N|N|Eligible
AN|AN|EPE|Brush, Cleaning, Tracheal Tube|1||Y|N||868.5795|4|||||N|N|Eligible
AN|AN|FLS|Monitor, Apnea, Facility Use|2||N|N||868.2377|1|||||N|Y|Eligible
AN|AN|FNC|Tent, Pediatric Aerosol|2||N|N||868.5710|1|||||N|N|Eligible
AN|AN|FOG|Hood, Oxygen, Infant|1||N|N||868.5700|4|||||N|N|Eligible
AN|AN|JAX|Pneumotachometer|2||N|N||868.2550|4|||||N|N|Eligible
AN|AN|JAY|Support, Breathing Tube|1||N|N||868.5280|4|||||N|N|Eligible
AN|AN|JED|Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling|3||N|N||868.1120|2|A PMA or notice of completion of a PDP is required to be filed with the Food and Drug Administration on or before September 21, 2004, for any indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before May 28, 1976, or that has, on or before September 21, 2004, been found to be substantially equivalent to an indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before May 28, 1976. Any other indwelling blood oxyhemoglobin concentration analyzer shall have an approved PMA or declared completed PDP in effect before being placed in commercial distribution.||||N|N|Eligible
AN|AN|JEF|Analyzer, Gas, Neon, Gaseous-Phase|2||N|Y||868.1670|1|||||N|N|Eligible
AN|AN|JEG|Analyzer, Gas, Argon, Gaseous-Phase|2||N|Y||868.1075|1|||||N|N|Eligible
AN|AN|JEH|Plethysmograph, Volume|2||N|Y||868.1760|1|||||N|N|Eligible
AN|AN|JEZ|Monitor, Lung Water Measurement|3||N|N||868.2450|2|||||N|N|Eligible
AN|AN|JFE|Valve, Switching (Ploss)|1||Y|N||868.1965|4|||||N|N|Eligible
AN|AN|JOH|Tube Tracheostomy And Tube Cuff|2||N|Y||868.5800|1|||||N|Y|Eligible
AN|AN|KFZ|Humidifier, Non-Direct Patient Interface (Home-Use)|1||N|N||868.5460|4|||||N|N|Eligible
AN|AN|KGB|Mask, Oxygen, Non-Rebreathing|1||N|N||868.5570|4|||||N|N|Eligible
AN|AN|KGK|Gas, Collecting Vessel|1||N|N||868.1575|4|||||N|N|Eligible
AN|AN|KHA|Mask, Scavenging|1||N|N||868.5590|4|||||N|N|Eligible
AN|AN|KLK|Monitor, Oxygen, Cutaneous, For Infant Not Under Gas Anesthesia|2||N|N||868.2500|4|||||N|N|Eligible
AN|AN|KOI|Stimulator, Nerve, Peripheral, Electric|2||N|Y||868.2775|1|||||N|N|Eligible
AN|AN|LKD|Monitor, Carbon-Dioxide, Cutaneous|2||N|N||868.2480|1|||||N|N|Eligible
AN|AN|LNZ|Changer, Tube, Endotracheal|2||N|Y||868.5730|1|||||N|N|Eligible
AN|AN|LPP|Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia|2||N|N||868.2500|4|||||N|N|Eligible
AN|AN|MIA|Needle, Spinal, Short Term|2||N|Y||868.5150|1|||||N|N|Eligible
AN|AN|MNR|Ventilatory Effort Recorder|2||N|Y||868.2375|1|||||N|N|Eligible
AN|AN|MNS|Ventilator, Continuous, Non-Life-Supporting|2||N|N||868.5895|1|||||N|N|Ineligible
AN|AN|MNT|Ventilator, Continuous, Minimal Ventilatory Support, Facility Use|2||N|N||868.5895|1|||||N|Y|Ineligible
AN|AN|MOD|Accessory To Continuous Ventilator (Respirator)|2||N|Y||868.5895|1|||||N|N|Eligible
AN|AN|MRN|Apparatus, Nitric Oxide Delivery|2||N|N||868.5165|1|||||N|Y|Eligible
AN|AN|MRO|Apparatus, Nitric Oxide, Backup Delivery|2||N|N||868.5165|1|||||N|Y|Eligible
AN|AN|MRP|Analyzer, Nitric Oxide|2||N|N||868.2380|1|||||N|N|Eligible
AN|AN|MRQ|Analyzer, Nitrogen Dioxide|2||N|Y||868.2385|1|||||N|Y|Eligible
AN|AN|MZT|Device, Heimlich Maneuver Assist|2||N|N||868.5115|4|||||N|Y|Eligible
AN|AN|NFB|Conserver, Oxygen|2||N|Y||868.5905|1|||||N|N|Eligible
AN|AN|NHJ|Device, Positive Pressure Breathing, Intermittent|2||N|N||868.5905|1|||||N|N|Eligible
AN|AN|NHK|Resuscitator, Manual, Non Self-Inflating|2||N|N||868.5905|1|A non self-inflating manual resuscitator, also called a hyperinflation system, is a manual ventilator intended to ventilate a patient by forcing a volume of fresh gas into the patient via compression of the ventilator bag; a source of compressed breathing gas is required to inflate the bag.||||N|Y|Eligible
AN|AN|NHO|Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)|2||N|Y||868.1500|1|A desflurane gas analyzer is a device intended to measure the concentration of desflurane anesthetic in a gas mixture.||||N|N|Eligible
AN|AN|NHP|Analyzer, Gas, Sevoflurane, Gaseous-Phase (Anesthetic Concentration)|2||N|Y||868.1500|1|A sevoflurane gas analyzer is a device intended to measure the concentration of sevoflurane anesthetic in a gas mixture||||N|N|Eligible
AN|AN|NHQ|Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)|2||N|Y||868.1500|1|A isoflurane gas analyzer is a device intended to measure the concentration of isoflurane anesthetic in a gas mixture||||N|N|Eligible
AN|AN|NMA|Tube, Tracheal, Reprocessed|2||N|N||868.5730|1|Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).||||N|Y|Eligible
AN|AN|NMC|Mask, Ventilator, Non-Continuous, Reprocessed|2||N|N||868.5905|1|Reprocessed mask for use with a non-continuous ventilator (CPAP, BiLevel pressure). Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).||||N|N|Eligible
AN|AN|NMR|Needle, Spinal, Short Term, Reprocessed|2||N|Y||868.5150|1|Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).||||N|N|Eligible
AN|AN|NNH|Needle, Conduction, Anesthesia, Reprocessed|2||N|Y||868.5150|1|A reprocessed needle is a device used to inject local anesthesia into a patient to provide regional anesthesia.  This is the same as "BSP." Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).||||N|N|Eligible
AN|AN|NOU|Continuous, Ventilator, Home Use|2||N|N||868.5895|1|This product code was needed for the home use indication.  CBK is not a tracked device and NOU is a tracked device.||||N|Y|Ineligible
AN|AN|NPF|Monitor, Apnea, Home Use|2||N|N||868.2377|1|Same as the identification for product code FLS, just add home use||||N|Y|Eligible
AN|AN|NQY|Ventilator, Continuous, Minimal Ventilatory Support, Home Use|2||N|N||868.5895|1|This continuous ventilator, which operates using a fixed or passive exhaust port, is intended to treat patients with respiratory failure in the home.||||N|Y|Eligible
AN|AN|NVO|Spacer, Direct Patient Interface|2||N|N||868.5630|1|Spacers are devices that are used with nebulizers and metered dose inhalers that are comprised of a reservior into which an aerosol medication is dispensed.  A spacer uses an open mouthpiece.  Spacers are intended to minimize delivery of large aerosolized particles.|Spacers are frequently made of plastic, and can be tube shapped.|By holding drugs after aerosolization, spacers are intended to minimize delivery of large aerosolized particles, which would otherwise deposit in the mouth.|Spacers contact the mouth.  The drug they are holding is intended for the lower airways|N|N|Eligible
AN|AN|NVP|Holding Chambers, Direct Patient Interface|2||N|N||868.5630|1|Holding chambers are devices that are used with nebulizers and metered dose inhalers and are comprised of a reservoir into which an aerosol medication is dispensed. A holding chamber uses a valved mouthpiece through which the patient inhales the dispensed medication.  Holding chambers are intended to minimize delivery of large aerosolized particles|Holding Chambers are frequently made of plastic, and can be tube shaped.|By holding drugs after aerosolization, holding chambers are intended to minimize delivery of large aerosolized particles which would otherwise depisit in the mouth, throat, or upper airway|Holding Chambers contact the mouth.  The drug they are holding is intended for the lower airways|N|N|Eligible
AN|AN|NXA|Tracheotomy Care Kit|2||N|N||868.5800|7|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N|Eligible
AN|AN|OBN|Humidifier, Respiratory, Mask (Direct Patient Interface)|2||N|Y||868.5450|1|Intended to moderate blood pressure in hypertensive patients when they are exposed to the cold. The mask attenuates (moderates) the physiological response, increases in blood pressure, associated with cold exposure, by warming the inhaled air during cold exposure for individuals with hypertension, medicated or non-medicated.|A simple mask that is placed over the patient's nose and mouth, and held in place with an elastic band around the back of the head.|Non-invasive heat-exchange device|Patient's nose/mouth area.|N|N|Eligible
AN|AN|OFO|Airway Suction Kit|1||N|N||868.6810|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N|Eligible
