"Medicine name";"EML section";"Formulations";"Indication";"ATC codes";"Combined with";"Status"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Enterobiasis";"P02CA03";;"Added"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Trichuriasis";"P02CA03";;"Added"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Hookworm diseases";"P02CA03";;"Added"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Cysticercosis";"P02CA03";;"Added"
"albendazole";"Cysticidal medicines";"Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)";"Other specified echinococcosis";"P02CA03";;"Added"
"albendazole";"Cysticidal medicines";"Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)";"Cysticercosis of central nervous system";"P02CA03";;"Added"
"albendazole";"Antifilarials";"Oral > Solid > tablet: 400 mg (chewable, scored)";"Filariasis";"P02CA03";;"Added"
"alcohol based hand rub";"Disinfectants";"Local > Topical > Solution: 80% v/v ethanol; 75% v/v isopropyl alcohol";"Denatured alcohol";"D08AX08";;"Added"
"alcuronium";"Muscle relaxants (peripherally-acting) and cholinesterase inhibitors";"Parenteral > General injections > IV: 5 mg per  mL in 2 mL ampoule (alcuronium chloride)";"Muscle relaxants";"M03AA01";;"Removed"
"all-trans retinoic acid";"Targeted therapies";"Oral > Solid: 10 mg capsule";"Acute myeloid leukaemia with recurrent genetic abnormalities";"L01XF01";;"Added"
"allopurinol";"Medicines used to treat gout";"Oral > Solid: 100 mg";"Gout";"M04AA01";;"Added"
"allopurinol";"Supportive medicines";"Oral > Solid: 100 mg; 300 mg";"Tumour lysis syndrome";"M04AA01";;"Added"
"alteplase";"Thrombolytic medicines";"Parenteral > General injections > IV: 10 mg in vial powder for injection; 20 mg in vial powder for injection; 50 mg in vial powder for injection";"Cerebral ischaemic stroke";"B01AD02";;"Added"
"amidotrizoate";"Diagnostic agents > Radiocontrast media";"Parenteral > General injections > unspecified: 140 to 420 mg iodine per  mL in 20 mL ampoule (as sodium or meglumine salt)";"Amidotrizoate";"V08AA01";;"Added"
"amikacin";"Ophthalmological preparations > Anti-infective agents";;"Other specified conjunctivitis";;;"Added"
"amikacin";"Ophthalmological preparations > Anti-infective agents";;"Infectious blepharitis";;;"Added"
"amikacin";"Access group antibiotics";"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)";"Acute pyelonephritis (severe)";"J01GB06";"cefotaxime";"Added"
"amikacin";"Access group antibiotics";"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)";"Acute pyelonephritis (severe)";"J01GB06";"ceftriaxone";"Added"
"amikacin";"Access group antibiotics";"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)";"Sepsis without septic shock";"J01GB06";"cloxacillin";"Added"
"amikacin";"Antituberculosis medicines";"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)";"Multi-drug resistant Mycobacterium tuberculosis";"J01GB06";;"Added"
"amiloride";"Diuretics";"Oral > Solid: 5 mg (hydrochloride)";"Oedema";"C03DB01";;"Added"
"amiloride";"Diuretics";"Oral > Solid: 5 mg (hydrochloride)";"Ascites";"C03DB01";;"Added"
"amiodarone";"Antiarrhythmic medicines";"Parenteral > General injections > IV: 50 mg per  mL in 3 ampoule (hydrochloride)
Oral > Solid: 100 mg (hydrochloride); 200 mg (hydrochloride); 400 mg (hydrochloride)";"Cardiac arrhythmia";"C01BD01";;"Added"
"amitriptyline";"Medicines for other common symptoms in palliative care";"Oral > Solid: 25 mg; 10 mg; 75 mg";"Palliative care";"N06AA09";;"Added"
"amlodipine";"Antihypertensive medicines";"Oral > Solid: 5 mg (as maleate, mesylate or besylate)";"Essential hypertension";"C08CA01";;"Added"
"amodiaquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride)";"Malaria due to Plasmodium falciparum";"P01BA06";;"Added"
"amodiaquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride)";"Malaria due to Plasmodium vivax";"P01BA06";;"Added"
"amodiaquine + sulfadoxine + pyrimethamine";"Antimalarial medicines > For chemoprevention";"Oral > Solid: 76.5 mg (as hydrochloride) [3] + 250 mg + 12.5 mg [1] dispersible tablets in co-package; 153 mg (as hydrochloride) [3] + 500 mg + 25 mg [1] dispersible tablets in co-package";"Malaria";"P01BA06, P01BD51";;"Added"
"amoxicillin";"Access group antibiotics";"Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection";"Sepsis without septic shock";"J01CA04";"gentamicin";"Added"
"amoxicillin";"Access group antibiotics";"Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection";"Chronic obstructive pulmonary disease with acute exacerbation";"J01CA04";;"Added"
"amoxicillin";"Access group antibiotics";"Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection";"Bacterial infection of unspecified site";"J01CA04";;"Removed"
"amoxicillin";"Access group antibiotics";"Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection";"Infectious cystitis";"J01CA04";;"Removed"
"amoxicillin + clavulanic acid";"Access group antibiotics";"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)";"Chronic obstructive pulmonary disease with acute exacerbation";"J01CR02";;"Added"
"amoxicillin + clavulanic acid";"Access group antibiotics";"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)";"Infectious cystitis";"J01CR02";;"Added"
"amoxicillin + clavulanic acid";"Access group antibiotics";"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)";"Bacterial infection of unspecified site";"J01CR02";;"Removed"
"amoxicillin + clavulanic acid";"Antituberculosis medicines";"Oral > Liquid: 250 mg (as trihydrate) + 62.5 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)";"Multi-drug resistant Mycobacterium tuberculosis";"J01CR02";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Blastomycosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Aspergillosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Cryptococcosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Candidosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Coccidioidomycosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Histoplasmosis";"J02AA01";;"Added"
"amphotericin B";"Antifungal medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Sporotrichosis";"J02AA01";;"Added"
"amphotericin B";"Antileishmaniasis medicines";"Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)";"Visceral leishmaniasis";"J02AA01";;"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Bacterial pneumonia (Community-acquired pneumonia - severe) [children]";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Acute malnutrition in infants, children or adolescents (complicated) [children]";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Peritonitis (mild-moderate)";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Peritonitis (severe)";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Peritoneal abscess (mild-moderate)";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Peritoneal abscess (severe)";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Sepsis without septic shock";"J01CA01";"gentamicin";"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Bacterial meningitis";"J01CA01";;"Added"
"ampicillin";"Access group antibiotics";"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)";"Bacterial infection of unspecified site";"J01CA01";;"Removed"
"anastrozole";"Hormones and antihormones";"Oral > Solid: 1 mg tablet";"Other specified malignant neoplasms of breast";"L02BG03";;"Added"
"anastrozole";"Hormones and antihormones";"Oral > Solid: 1 mg tablet";"Malignant neoplasms of breast";"L02BG03";;"Added"
"anidulafungin";"Antifungal medicines";;"Systemic or invasive candidosis";;;"Added"
"ansuvimab";"Medicines for Ebola virus disease";"Parenteral > General injections > IV: 400 mg powder for injection";"Ebola virus disease";"J06BD04";;"Added"
"anti-d immunoglobulin";"Human immunoglobulins";"Parenteral > General injections > IV: 250 µg in single-dose vial
Parenteral > General injections > IM: 250 µg in single-dose vial";"Maternal care for red cell antibodies";"J06BB01";;"Added"
"anti-d immunoglobulin";"Human immunoglobulins";"Parenteral > General injections > IV: 250 µg in single-dose vial
Parenteral > General injections > IM: 250 µg in single-dose vial";"Rh incompatibility reaction";"J06BB01";;"Added"
"anti-rabies immunoglobulin";"Human immunoglobulins";"Parenteral > General injections > IM: 150 IU per  mL in vial
Parenteral > Locoregional injections > Other: 150 IU per  mL in vial";"Rabies";"J06BB05";;"Added"
"anti-rabies virus monoclonal antibodies";"Immunologicals > Sera, immunoglobulins and monoclonal antibodies";"Parenteral > Locoregional injections > Intradermal: 40 IU per  mL in 1.25 mL vial (human); 40 IU per  mL in 2.5 mL vial (human); 100 IU per  mL in 2.5 mL vial (human); 300 IU per  mL in 10 mL vial (murine); 600 IU per  mL in 1 mL vial (murine); 600 IU per  mL in 2.5 mL vial (murine); 600 IU per  mL in 5 mL vial (murine)";"Rabies";;;"Added"
"anti-tetanus immunoglobulin";"Human immunoglobulins";"Parenteral > General injections > IM: 500 IU in vial";"Tetanus";"J06BB02";;"Added"
"antirabies hyperimmune serum";"Immunologicals > Sera, immunoglobulins and monoclonal antibodies";"Parenteral > General injections > unspecified: 1000 IU in 5 mL ampoule";"Rabies";;;"Removed"
"antivenom immunoglobulin";"Immunologicals > Sera, immunoglobulins and monoclonal antibodies";"Parenteral > General injections > IV: ";"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified";;;"Added"
"antivenom sera";"Immunologicals > Sera, immunoglobulins and monoclonal antibodies";"Parenteral > General injections > IV: ";"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified";;;"Removed"
"apixaban";"Medicines affecting coagulation";;"Venous thromboembolism";;;"Added"
"apixaban";"Medicines affecting coagulation";;"Other specified atrial fibrillation";;;"Added"
"aprepitant";"Antiemetic medicines";"Oral > Liquid: 125 mg powder for oral suspension (in sachet)
Oral > Solid: 80 mg; 125 mg; 165 mg";"Nausea or vomiting";"A04AD12";;"Added"
"arsenic trioxide";"Cytotoxic medicines";"Parenteral > General injections > IV: 1 mg per  mL concentrate for solution for infusion; 2 mg per  mL concentrate for solution for infusion";"Acute myeloid leukaemia with recurrent genetic abnormalities";"L01XX27";;"Added"
"artemether";"Antimalarial medicines > For curative treatment";"Parenteral > General injections > IM: 80 mg per  mL in 1 mL ampoule (oily injection)";"Malaria due to Plasmodium falciparum";"P01BE02";;"Added"
"artemether";"Antimalarial medicines > For curative treatment";"Parenteral > General injections > IM: 80 mg per  mL in 1 mL ampoule (oily injection)";"Malaria due to Plasmodium vivax";"P01BE02";;"Added"
"artemether + lumefantrine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 20 mg + 120 mg tablet; 20 mg + 120 mg dispersible tablet";"Malaria due to Plasmodium falciparum";"P01BF01";;"Added"
"artemether + lumefantrine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 20 mg + 120 mg tablet; 20 mg + 120 mg dispersible tablet";"Malaria due to Plasmodium vivax";"P01BF01";;"Added"
"artesunate";"Antimalarial medicines > For curative treatment";"Parenteral > General injections > IV: 60 mg in ampoule containing anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution
Oral > Solid: 50 mg tablet
Local > Rectal > Other: 50 mg capsules; 200 mg capsules; 100 mg capsules";"Malaria due to Plasmodium falciparum";"P01BE03";;"Added"
"artesunate";"Antimalarial medicines > For curative treatment";"Parenteral > General injections > IV: 60 mg in ampoule containing anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution
Oral > Solid: 50 mg tablet
Local > Rectal > Other: 50 mg capsules; 200 mg capsules; 100 mg capsules";"Malaria due to Plasmodium vivax";"P01BE03";;"Added"
"artesunate + amodiaquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 25 mg + 67.5 mg tablet; 50 mg + 135 mg tablet; 100 mg + 270 mg tablet";"Malaria due to Plasmodium falciparum";"P01BF03";;"Added"
"artesunate + amodiaquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 25 mg + 67.5 mg tablet; 50 mg + 135 mg tablet; 100 mg + 270 mg tablet";"Malaria due to Plasmodium vivax";"P01BF03";;"Added"
"artesunate + mefloquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 25 mg + 55 mg tablet; 100 mg + 220 mg tablet";"Malaria due to Plasmodium falciparum";"P01BF02";;"Added"
"artesunate + mefloquine";"Antimalarial medicines > For curative treatment";"Oral > Solid: 25 mg + 55 mg tablet; 100 mg + 220 mg tablet";"Malaria due to Plasmodium vivax";"P01BF02";;"Added"
"artesunate + pyronaridine tetraphosphate";"Antimalarial medicines > For curative treatment";"Oral > Solid: 60 mg + 180 mg tablet; 20 mg + 60 mg granules";"Malaria due to Plasmodium falciparum";"P01BF06";;"Added"
"artesunate + pyronaridine tetraphosphate";"Antimalarial medicines > For curative treatment";"Oral > Solid: 60 mg + 180 mg tablet; 20 mg + 60 mg granules";"Malaria due to Plasmodium vivax";"P01BF06";;"Added"
"ascorbic acid";"Vitamins and minerals";"Oral > Solid: 50 mg";"Scurvy";"A11GA01";;"Added"
"asparaginase";"Cytotoxic medicines";"Powder for injection: 10 000 IU in vial.
Parenteral > General injections > unspecified: 10000 IU in vial powder for injection";"Unspecified malignant neoplasms of ill-defined or unspecified sites";"L01XX02";;"Removed"
"asparaginase";"Cytotoxic medicines";"Powder for injection: 10 000 IU in vial.
Parenteral > General injections > unspecified: 10000 IU in vial powder for injection";"Lymphoid leukaemia, not elsewhere classified";"L01XX02";;"Added"
