"id","label_uk","label_ru","label_fr","label_en","alias_list_uk","alias_list_ru","alias_list_fr","alias_list_en","chembl_id","chebi_id","atc_code","ukwiki_sitelink","frwiki_sitelink","ruwiki_sitelink","enwiki_sitelink","tallman_name"
"Q1385311","фосампренавір","фосампреновир","fosamprenavir","fosamprenavir","['FOS-APV', 'Telzir', 'Lexiva']","['Lexiva', 'Telzir']","[]","['Fosamprenavir', 'FOS-APV', 'Telzir', 'Lexiva']","CHEMBL1664","82941","J05AE07","https://uk.wikipedia.org/wiki/%D0%A4%D0%BE%D1%81%D0%B0%D0%BC%D0%BF%D1%80%D0%B5%D0%BD%D0%B0%D0%B2%D1%96%D1%80","","https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D1%81%D0%B0%D0%BC%D0%BF%D1%80%D0%B5%D0%BD%D0%B0%D0%B2%D0%B8%D1%80","https://en.wikipedia.org/wiki/Fosamprenavir",""
"Q55961687","","","","condoliase","[]","[]","[]","['Hernicore']","","","","","","","https://en.wikipedia.org/wiki/Condoliase",""
"Q518114","","","oxybenzone","oxybenzone","[]","[]","[]","['Uvinul M40', '4-Methoxy-2-hydroxybenzophenone butyric acid', '2-Hydroxy-4-methoxybenzophenone', '2-Benzoyl-5-methoxyphenol', 'Benzophenone-3', '4-Methoxy-2-hydroxybenzophenone', '(2-Hydroxy-4-methoxyphenyl)phenylmethanone', 'Oxibenzona', 'Oxybenzonum', 'Oxybenzone']","CHEMBL1625","34283","","","https://fr.wikipedia.org/wiki/Oxybenzone","","https://en.wikipedia.org/wiki/Oxybenzone",""
"Q4784109","","","","aranidipine","[]","[]","[]","['Aranidipine']","CHEMBL2104030","31232","","","","","https://en.wikipedia.org/wiki/Aranidipine",""
"Q422134","метиленовий синій","метиленовый синий","bleu de méthylène","methylene blue","[]","['Метиленовый голубой', 'Метиленовая синь']","['Méthylthioninium', 'Bleu de methylene', '61-73-4', 'C16H18ClN3S', 'Chlorure de méthylthioninium', 'bleu de phénylène', 'méthylthioninium']","['methylthioninium chloride', 'Basic Blue 9', 'C.I. basic blue 9', 'Lowacryl blue 9', 'Methylene blue', 'Methylene blue anhydrous', 'methylenium ceruleum', 'C.I. 52015', 'Swiss blue', 'Solvent blue 8', 'methylene blue anhydrous', 'Methylthioninium chloride', 'VIB100', '3,7-Bis(dimethylamino)phenazathionium chloride', 'Methylene Blue', ""Ehrlich's reagent III""]","CHEMBL405110","6872","V03AB17","https://uk.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B8%D0%BB%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D0%B9_%D1%81%D0%B8%D0%BD%D1%96%D0%B9","https://fr.wikipedia.org/wiki/Bleu_de_m%C3%A9thyl%C3%A8ne","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B8%D0%BB%D0%B5%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9_%D1%81%D0%B8%D0%BD%D0%B8%D0%B9","https://en.wikipedia.org/wiki/Methylene_blue",""
"Q12199321","","","benzoate de métronidazole","metronidazole benzoate","[]","[]","['métronidazole (benzoate de)']","['2-Methyl-5-nitro-1H-imidazole-1-ethyl benzoate', 'Benzoylmetronidazole']","CHEMBL1466172","50688","","","","","",""
"Q413486","Димедрол","дифенгидрамин","diphénhydramine","diphenhydramine","['Дімедрол', 'Дімідрол']","['димедрол', 'псило-бальзам']","['147-24-0', 'Nautamine', 'Benadryl', 'Dimedrol', 'Diphenhydramine', '58-73-1']","['Benadryl®', 'benzhydramine', 'dimehydrinate', 'O-benzhydryldimethylaminoethanol', '2-diphenylmethoxy-N,N-demthylethanamine', 'beta-dimethylaminoethyl benzhydryl ether', 'alpha-(2-dimethylaminoethoxy)diphenylmethane', 'N-(2-(diphenylmethoxy)ethyl)-N,N-dimethylamine', '2-(benzhydryloxy)-N,N-dimethylethylamine', 'beta-dimethylaminoethanol diphenylmethyl ether', 'Dimedrolum', 'Allergina', 'Diphamine', 'Difenhydramine', 'Benadryl', 'Alledryl', 'Allergan', '[2-(diphenylmethoxy)ethyl]dimethylamine', 'Dimedrol', 'Diphantine', 'Dimethylamine benzhydryl ester', 'Benzantin', 'Dobacen', 'Bendylate']","CHEMBL657","4636","R06AA02","https://uk.wikipedia.org/wiki/%D0%94%D0%B8%D0%BC%D0%B5%D0%B4%D1%80%D0%BE%D0%BB","https://fr.wikipedia.org/wiki/Diph%C3%A9nhydramine","https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D1%84%D0%B5%D0%BD%D0%B3%D0%B8%D0%B4%D1%80%D0%B0%D0%BC%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Diphenhydramine","diphenhydrAMINE"
"Q106729630","","","","bevasiranib sodium","[]","[]","[]","[]","","","","","","","",""
"Q72470595","","","echinacée pourpre (racine d')","purple coneflower root","[]","[]","[]","['Echinacea extract', 'Echinaceae purpureae radix', 'purple coneflower extract', 'Echinacea purpurea root']","","","","","","","",""
"Q27461938","","","","AZD-9496","[]","[]","[]","['AZD9496']","CHEMBL3623004","","","","","","",""
"Q31948091","","","béclométasone","beclometasone","[]","[]","['béclométasone base']","['beclomethasone', 'Becotide', 'Beclocort', '9α-chloro-16β-methylprednisolone']","CHEMBL1586","3001","","","","","",""
"Q25018296","","Велпатасвир","velpatasvir","velpatasvir","[]","['Velpatasvir']","[]","['velpatasvir']","CHEMBL3545062","133009","","","https://fr.wikipedia.org/wiki/Velpatasvir","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BF%D0%B0%D1%82%D0%B0%D1%81%D0%B2%D0%B8%D1%80","https://en.wikipedia.org/wiki/Velpatasvir",""
"Q5037853","","","carbétocine","carbetocin","[]","[]","[]","['1-butyric acid-2-(3-(p-methoxyphenyl)-L-alanine)oxytocin', 'deamino-2-O-methyltyrosine-1-carbaoxytocin', '1-butanoic acid-2-(O-methyl-L-tyrosine)-1-carbaoxytocin', '1-Butanoic acid-2-(O-methyl-L-tyrosine)-1-carbaoxytocin', 'Carbetocinum', '1-Butyric acid-2-(3-(P-methoxyphenyl)-L-alanine)oxytocin', 'Deamino-2-O-methyltyrosine-1-carbaoxytocin', 'Carbetocin', 'Carbetocino']","CHEMBL3301668","59204","H01BB03","","","","https://en.wikipedia.org/wiki/Carbetocin",""
"Q411478","флуконазол","Флуконазол","fluconazole","fluconazole","[]","['Флюконазол', 'Флуконорм', 'Цискан', 'Микофлюкан', 'Флукорал', 'Нофунг', 'Флукозан', 'Дифлюзол', 'Флукозид', 'Медофлюкон', 'Флунол', 'Микомакс', 'Проканазол', 'Фунзол', 'Дифлазон', 'Фунголон', 'Биннофлуназол', 'Дифлюкан', 'Лунизол', 'Микосист', 'Рофлузол', 'Флузол', 'Флюкостат', 'Форкан', 'Фуцис']","['C13H12F2N6O', '86386-73-4']","['2-(2,4-DIFLUOROPHENYL)-1,3-di(1H-1,2,4-triazol-1-yl)propan-2-ol', '2,4-Difluoro-alpha,alpha-bis(1H-1,2,4-triazol-1-ylmethyl)benzyl alcohol', 'Biozole', 'Diflucan', 'Elazor', 'Fluconazol', 'Fluconazolum', 'Triflucan', 'Fluconazole']","CHEMBL106","46081","D01AC15","https://uk.wikipedia.org/wiki/%D0%A4%D0%BB%D1%83%D0%BA%D0%BE%D0%BD%D0%B0%D0%B7%D0%BE%D0%BB","https://fr.wikipedia.org/wiki/Fluconazole","https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D1%83%D0%BA%D0%BE%D0%BD%D0%B0%D0%B7%D0%BE%D0%BB","https://en.wikipedia.org/wiki/Fluconazole",""
"Q48841284","","","","estrogen","[]","[]","[]","[]","","","G03C","","","","https://en.wikipedia.org/wiki/Estrogen_(medication)",""
"Q96335494","","","","silver linden flower","[]","[]","[]","['Tiliae tomentosae flos']","","","","","","","",""
"Q421475","Беклометазон","Беклометазона дипропионат","béclométasone","beclomethasone dipropionate","[]","[]","['C22H29ClO5', 'Beclometasone', '4419-39-0']","['Beconase®', 'Qnasl®', 'Vancenase®', 'Beclometasone dipropionate', '9-chloro-11beta-hydroxy-16beta-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate', '(11beta,16beta)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione', 'beclometasone 17,21-dipropionate', '9-chloro-16beta-methyl-11beta,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate', 'Clenil', 'Beclomethasone dipropionate', '9-chloro-11β-hydroxy-16β-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate', '9-chloro-16β-methyl-11β,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate', '(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione']","CHEMBL1200500","3002","R01AD01","https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BA%D0%BB%D0%BE%D0%BC%D0%B5%D1%82%D0%B0%D0%B7%D0%BE%D0%BD","https://fr.wikipedia.org/wiki/B%C3%A9clom%C3%A9tasone","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BA%D0%BB%D0%BE%D0%BC%D0%B5%D1%82%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0_%D0%B4%D0%B8%D0%BF%D1%80%D0%BE%D0%BF%D0%B8%D0%BE%D0%BD%D0%B0%D1%82","https://en.wikipedia.org/wiki/Beclometasone",""
"Q420595","Тігециклін","","Tigécycline","tigecycline","[]","[]","[]","['WAY-GAR-936', '(4S,4AS,5ar,12as)-9-(2-(tert-butylamino)acetamido)-4,7-bis(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,10,12,12a-tetrahydroxy-1,11-dioxo-2-naphthacenecarboxamide', 'Tigeciclina', 'Tigecycline', 'Tigecyclinum']","CHEMBL376140","149836","J01AA12","https://uk.wikipedia.org/wiki/%D0%A2%D1%96%D0%B3%D0%B5%D1%86%D0%B8%D0%BA%D0%BB%D1%96%D0%BD","https://fr.wikipedia.org/wiki/Tig%C3%A9cycline","","https://en.wikipedia.org/wiki/Tigecycline",""
"Q867308","","","cyclizine","cyclizine","[]","[]","[]","['Marezine®', ""N-Benzhydryl-N'-methylpiperazine"", '1-Benzhydryl-4-methylpiperazin', '1-(Diphenylmethyl)-4-methylpiperazine', ""(N-Benzhydryl)(N'-methyl)diethylenediamine"", ""N-methyl-N'-benzhydrylpiperazine"", '(+-)-1-diphenylmethyl-4-methylpiperazine', '(±)-1-diphenylmethyl-4-methylpiperazine', 'Ciclizina', 'Cyclizinum', 'Cyclizine', '(+-)-1-Diphenylmethyl-4-methylpiperazine', ""(N-Benzhydryl)(n'-methyl)diethylenediamine""]","CHEMBL648","3994","R06AE03","","https://fr.wikipedia.org/wiki/Cyclizine","","https://en.wikipedia.org/wiki/Cyclizine",""
"Q7939403","","","Voglibose","voglibose","[]","[]","[]","['A-71100', 'AO-128', 'Basen', 'Glustat', 'Voglibose']","CHEMBL476960","32300","A10BF03","","https://fr.wikipedia.org/wiki/Voglibose","","https://en.wikipedia.org/wiki/Voglibose",""
"Q48829118","","","","Symbicort","[]","[]","[]","[]","","","","","","","",""
"Q81411046","","","REGN-EB3","REGN-EB3","[]","[]","[]","[]","","","","","","","https://en.wikipedia.org/wiki/REGN-EB3",""
"Q27088458","","","","dexpropranolol","[]","[]","[]","['dextropropranolol', 'R(+)-propranolol', 'R-(+)-Propranolol', 'Dexpropranolol', '(+)-Propranolol', '2R-Propranolol', 'D-Propranolol', '(+)-1-Isopropylamino-3-(1-naphthyloxy)-2-propanol', '1-(Isopropylamino)-3-(1-Naphthyloxy)-2-Propanol']","CHEMBL275742","8736","","","","","",""
"Q10616061","","","","","[]","[]","[]","[]","","","","","","","",""
"Q3960572","","Siltuximab","siltuximab","siltuximab","[]","[]","[]","['CNTO-328', 'CLLB8']","CHEMBL1743070","","L04AC11","","https://fr.wikipedia.org/wiki/Siltuximab","https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%82%D1%83%D0%BA%D1%81%D0%B8%D0%BC%D0%B0%D0%B1","https://en.wikipedia.org/wiki/Siltuximab",""
"Q6817818","","","Mepirodipine","Mepirodipine","[]","[]","[]","[]","","","","","","","https://en.wikipedia.org/wiki/Mepirodipine",""
"Q6482030","ламівудин/зидовудін","Ламивудин/Зидовудин","","lamivudine/zidovudine","['комбівір']","['Комбивир']","[]","['lamivudine / zidovudine', 'Combivir']","","","J05AR01","https://uk.wikipedia.org/wiki/%D0%97%D0%B8%D0%B4%D0%BE%D0%B2%D1%83%D0%B4%D0%B8%D0%BD/%D0%9B%D0%B0%D0%BC%D1%96%D0%B2%D1%83%D0%B4%D0%B8%D0%BD","","https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BC%D0%B8%D0%B2%D1%83%D0%B4%D0%B8%D0%BD/%D0%97%D0%B8%D0%B4%D0%BE%D0%B2%D1%83%D0%B4%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Lamivudine/zidovudine",""
"Q18485838","","","","Minancora","[]","[]","[]","[]","","","","","","","",""
"Q425470","","","pentostatin","pentostatin","[]","[]","[]","[""2'-deoxycoformycin"", 'deoxycoformycin', 'Nipent®', 'Pentostatin', 'Pentostatine', 'Co-vidarabine', 'Pentostatina', 'Pentostatinum']","CHEMBL1580","","L01XX08","","https://fr.wikipedia.org/wiki/Pentostatine","","https://en.wikipedia.org/wiki/Pentostatin",""
"Q2964078","","","chlophédianol","chlophedianol","[]","[]","['Chlophedianol', '791-35-5', 'C17H20ClNO']","['SL-501', 'Ulone®', 'Clofedianolo', 'Clofedanolum', 'Chlophedianol', 'Clofedanol']","CHEMBL1201313","135207","R05DB10","","https://fr.wikipedia.org/wiki/Chloph%C3%A9dianol","","https://en.wikipedia.org/wiki/Clofedanol",""
"Q2870929","амоксицилін/клавуланова кислота","амоксициллин + клавулановая кислота","Augmentin","Amoxicillin/clavulanic acid","[]","['амоксиклав', 'аугментин', 'амоксициллин/клавулановая кислота']","['Co-amoxiclav']","['Amoxicillin/clavulanate', 'Co-amoxiclav', 'Clavamox', 'Clavulin', 'Amoxsiklav', 'Augmentine', 'Spectramox', 'Amoxicillin-Potassium Clavulanate Combination']","CHEMBL1697738","2677","","https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%BE%D0%BA%D1%81%D0%B8%D1%86%D0%B8%D0%BB%D1%96%D0%BD/%D0%BA%D0%BB%D0%B0%D0%B2%D1%83%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0","https://fr.wikipedia.org/wiki/Amoxicilline/acide_clavulanique","https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%BE%D0%BA%D1%81%D0%B8%D1%86%D0%B8%D0%BB%D0%BB%D0%B8%D0%BD_%2B_%D0%BA%D0%BB%D0%B0%D0%B2%D1%83%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0","https://en.wikipedia.org/wiki/Amoxicillin/clavulanic_acid",""
"Q410842","Фенілоцтова кислота","фенилуксусная кислота","acide phénylacétique","phenylacetic acid","[]","[]","['103-82-2', '114-70-5', 'C8H8O2', 'Acide phenylacetique']","['ω-phenylacetic acid', 'α-toluic acid', 'benzeneacetic acid', 'PAA , Phenylacetic acid', 'alpha-toluic acid', '2-Phenylethanoic acid', 'PA', 'Benzenacetic acid', 'Omega-Phenylacetic acid', '2-phenylacetic acid', 'Benzeneacetate', 'a-Toluate', 'w-Phenylacetate', 'Phenylethanoic acid', 'Omega-Phenylacetate', '2-Phenylethanoate', 'alpha-Toluate', 'a-Toluic acid', 'Phenylethanoate', 'Benzylformate', '2-Phenylacetate', 'w-Phenylacetic acid', 'Phenylacetic acid']","CHEMBL1044","30745","","https://uk.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BD%D1%96%D0%BB%D0%BE%D1%86%D1%82%D0%BE%D0%B2%D0%B0_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0","https://fr.wikipedia.org/wiki/Acide_ph%C3%A9nylac%C3%A9tique","https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BD%D0%B8%D0%BB%D1%83%D0%BA%D1%81%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0","https://en.wikipedia.org/wiki/Phenylacetic_acid",""
"Q423437","астемізол","Астемизол","astémizole","astemizole","[]","[]","[]","['1-(p-fluorobenzyl)-2-{[1-(p-methoxyphenethyl)-4-piperidyl]amino}benzimidazole', '1-(p-fluorobenzyl)-2-({1-[2-(p-methoxyphenyl)ethyl]piperid-4-yl}amino)benzimidazole']","CHEMBL296419","2896","R06AX11","https://uk.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D0%B5%D0%BC%D1%96%D0%B7%D0%BE%D0%BB","https://fr.wikipedia.org/wiki/Ast%C3%A9mizole","https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D0%B5%D0%BC%D0%B8%D0%B7%D0%BE%D0%BB","https://en.wikipedia.org/wiki/Astemizole",""
"Q417240","атомоксетин","атомоксетин","atomoxétine","atomoxetine","[]","[]","['83015-26-3', 'Strattera®', 'Atomoxetine', 'Stratéra', 'Stratera', 'Strattera', 'C17H21NO']","['LY-139603', 'Strattera®', '(-)-Tomoxetine', 'Tomoxetine', 'Atomoxetine', 'Tomoxetina', 'Tomoxetinum']","CHEMBL641","127342","N06BA09","https://uk.wikipedia.org/wiki/%D0%90%D1%82%D0%BE%D0%BC%D0%BE%D0%BA%D1%81%D0%B5%D1%82%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Atomox%C3%A9tine","https://ru.wikipedia.org/wiki/%D0%90%D1%82%D0%BE%D0%BC%D0%BE%D0%BA%D1%81%D0%B5%D1%82%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Atomoxetine",""
"Q4752549","","","","ancestim","[]","[]","[]","[]","CHEMBL2108975","","L03AA12","","","","https://en.wikipedia.org/wiki/Ancestim",""
"Q410656","Офатумумаб","Офатумумаб","ofatumumab","ofatumumab","[]","[]","[]","['OMB157']","CHEMBL1201836","","L01XC10","https://uk.wikipedia.org/wiki/%D0%9E%D1%84%D0%B0%D1%82%D1%83%D0%BC%D1%83%D0%BC%D0%B0%D0%B1","https://fr.wikipedia.org/wiki/Ofatumumab","https://ru.wikipedia.org/wiki/%D0%9E%D1%84%D0%B0%D1%82%D1%83%D0%BC%D1%83%D0%BC%D0%B0%D0%B1","https://en.wikipedia.org/wiki/Ofatumumab",""
"Q2458673","Кетотифен","Кетотифен","kétotifène","ketotifen","[]","['Кетоф', 'Стафен', 'Позитан', 'Френасма', 'Задитен']","['34580-14-8', 'C19H19NOS']","['ZAD511']","CHEMBL534","92511","R06AX17","https://uk.wikipedia.org/wiki/%D0%9A%D0%B5%D1%82%D0%BE%D1%82%D0%B8%D1%84%D0%B5%D0%BD","https://fr.wikipedia.org/wiki/K%C3%A9totif%C3%A8ne","https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%82%D0%BE%D1%82%D0%B8%D1%84%D0%B5%D0%BD","https://en.wikipedia.org/wiki/Ketotifen",""
"Q417909","Терфенадин","","terfénadine","terfenadine","[]","[]","[]","['RMI-9918', 'Seldane®', 'Triludan®', 'Terfenadine', '(RS)-1-(4-tert-butylphenyl)-4-{4-[hydroxy(diphenyl)methyl]piperidin-1-yl}-butan-1-ol', 'Terfénadine', 'Terfenadina', 'Terfenadin', 'Terfenadinum']","CHEMBL17157","9453","R06AX12","https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D1%84%D0%B5%D0%BD%D0%B0%D0%B4%D0%B8%D0%BD","","","https://en.wikipedia.org/wiki/Terfenadine",""
"Q2471714","","кетобемидон","","ketobemidone","[]","[]","[]","[]","CHEMBL47072","6125","N02AB01","","","https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%82%D0%BE%D0%B1%D0%B5%D0%BC%D0%B8%D0%B4%D0%BE%D0%BD","https://en.wikipedia.org/wiki/Ketobemidone",""
"Q13566125","","","","(+/-)-niguldipine","[]","[]","[]","['Dexniguldipine']","CHEMBL1275655","7572","","","","","https://en.wikipedia.org/wiki/Niguldipine",""
"Q22075842","","","turoctocog alfa","turoctocog alfa","[]","[]","[]","[]","CHEMBL2108286","","","","","","https://en.wikipedia.org/wiki/Turoctocog_alfa",""
"Q27287158","","","","(S)-rabeprazole","[]","[]","[]","['levorabeprazole']","CHEMBL1627299","","","","","","",""
