"atc_classification","activeingredient","activeingredient_cy","brandname_uk_cy","brandname_uk_lat","manufacturer","dosage_cy","dosage","info_uk","brandname_uk_lat_translit","brandname_uk_lat_merge"
"R03AL01","['Fenoterol', 'Ipratropium bromide']","['Фенотерол', 'Іпратропію бромід']","ІПРАДУАЛ","","ТОВ ""Мультіспрей"", Україна","['аерозоль дозований по 20 мкг/50 мкг/доза по 200 доз у балоні № 1', 'розчин для інгаляцій по 20 мл у флаконі з крапельницею,']","['aerosol dosed at 20 μg / 50 μg / dose at 200 doses in a cylinder № 1', 'solution for inhalation of 20 ml in a dropper bottle,']","https://mozdocs.kiev.ua/likiview.php?id=43216","ІPRADUAL","ІPRADUAL"
"R03AL01","['Fenoterol', 'Ipratropium bromide']","['Фенотерол', 'Іпратропію бромід']","ФРІВЕЙ® КОМБІ","FREEWAY COMBI","ПАТ ""Фармак"", м. Київ, Україна","['розчин для інгаляцій по 20 мл або по 25 мл у флаконі']","['solution for inhalation of 20 ml or 25 ml in a vial']","https://compendium.com.ua/info/328309/frivej‐kombi/","FRІVEJ® KOMBІ","FREEWAY COMBI"
"R03BA05","['Fluticasone']","['Флутиказон']","НЕБУФЛЮЗОН®","NEBUFLUSON","ТОВ ""Юрія‐Фарм"", м.Київ, Україна","['суспензія для інгаляцій, 1,0 мг/мл по 2 мл у контейнері однодозовому N 10']","['suspension for inhalation, 1.0 mg / ml in 2 ml in a single', 'dose container No. 10']","https://compendium.com.ua/info/211071/","NEBUFLJuZON®","NEBUFLUSON"
"R03BA05","['Fluticasone']","['Флутиказон']","ФЛІКСОТИД™ ЕВОХАЛЕР™","FLIXOTIDE™ EVOHALER™","Глаксо Веллком С.А., Іспанія","['аерозоль для інгаляцій, дозований, 125 мкг/дозу по 60 доз або по 120 доз в балоні', 'аерозоль для інгаляцій, дозований, 50 мкг/дозу по 120 доз в балоні']","['aerosol for inhalation, dosed, 125 mcg / dose of 60 doses or 120 doses in a cylinder', 'aerosol for inhalation, dosed, 50 mcg / dose of 120 doses in a cylinder']","https://compendium.com.ua/dec/272685/","FLІKSOTID™ EVOHALER™","FLIXOTIDE™ EVOHALER™"
"R03BA05","['Fluticasone']","['Флутиказон']","ФЛІКСОТИД™ НЕБУ ЛИ™","FLIXOTIDE™ NEBUL ES™","Глаксо Веллком С.А., Іспанія","['суспензія для інгаляцій, 0,5 мг/2 мл по 2 мл у небулі', 'суспензія для інгаляцій, 2 мг/2 мл по 2 мл у небулі']","['suspension for inhalation, 0.5 mg / 2 ml of 2 ml in the nebula', 'suspension for inhalation, 2 mg / 2 ml of 2 ml in the nebula']","https://compendium.com.ua/info/_3469/","FLІKSOTID™ NEBU LI™","FLIXOTIDE™ NEBUL ES™"
"R03AC13","['Formoterol']","['Формотерол']","ЗАФІРОН","ZAFIRON","АТ ""Адамед Фарма""","['капсули, що містять порошок для інгаляцій, по 12 мкг по 10 капсул у блістері N 6 або 12 блістерів разом з інгалятором']","['capsules containing powder for inhalation, 12 mcg 10 capsules in a blister № 6 or 12 blisters with an inhaler']","https://compendium.com.ua/info/169501/zafiron/","ZAFІRON","ZAFIRON"
"R03AC13","['Formoterol']","['Формотерол']","ФОРАТЕК","FORATEC","Ципла Лтд., Індія","['аерозоль (суспензія) для інгаляцій, 12 мкг/дозу по 120 доз у контейнері № 1']","['aerosol (suspension) for inhalation, 12 μg / dose of 120 doses in a container № 1']","https://mozdocs.kiev.ua/likiview.php?id=44633","FORATEK","FORATEC"
"R03AC13","['Formoterol']","['Формотерол']","ФОРМОТЕРОЛ ІЗІХЕЙЛЕР","FORMOTEROL EASYHALER","Оріон Корпорейшн, Фінляндія","['порошок для інгаляцій 12 мкг/доза по 120 доз (12 мкг/дозу) в інгаляторі з захисним ковпачком у ламінованому пакеті']","['powder for inhalation 12 mcg / dose of 120 doses (12 mcg / dose) in an inhaler with a protective cap in a laminated package']","https://compendium.com.ua/info/255155/formoterol‐izikhejler/","FORMOTEROL ІZІHEJLER","FORMOTEROL EASYHALER"
"R03AC13","['Formoterol']","['Формотерол']","ФОРТІКС","FORTIX","Лабораторіос Ліконса, С.А., Іспанія","['Порошок для інгаляцій, тверді капсули по 12 мкг № 60 (10х6) у блістерах в комплекті з інгалятором']","['Powder for inhalation, hard capsules of 12 mcg № 60 (10x6) in blisters, with inhaler']","https://compendium.com.ua/info/172799/fortiks/","FORTІKS","FORTIX"
"R03AC13","['Formoterol']","['Формотерол']","ФОРТУЛІН","FORTULIN","МЕДА Меньюфекчеринг ГмбХ, Німеччина","['порошок для інгаляцій, 12 мкг/дозу по 60 доз порошку у картриджі по 1 картриджу у контейнері']","['powder for inhalation, 12 mcg / dose 60 doses of powder in the cartridge 1 cartridge in a container']","https://compendium.com.ua/dec/265264/","FORTULІN","FORTULIN"
"R03AK07","['Formoterol', 'Budesonide']","['Формотерол', 'Будесонід']","БУФОМІКС ІЗІХЕЙЛЕР","BUFOMIX EASYHALER","Оріон Корпорейшн, Фінляндія","['порошок для інгаляцій 160 мкг/4,5 мкг/доза по 60 доз або 120 доз в інгаляторі, по 1 ламінованому пакету в картонній коробці по 60 доз або 120 доз в інгаляторі']","['powder for inhalation 160 mcg / 4.5 mcg / dose of 60 doses or 120 doses in the inhaler, 1 laminated bag in a cardboard box 60 doses or 120 doses in the inhaler']","https://compendium.com.ua/info/255153/bufomiks‐izikhejler/","BUFOMІKS ІZІHEJLER","BUFOMIX EASYHALER"
"R03AK07","['Formoterol', 'Budesonide']","['Формотерол', 'Будесонід']","ДУОРЕСП СПІРОМАКС","DUORESP SPIROMAX","Нортон (Ватерфорд) Лімітед Т/А АЙВЕКС Фармасьютикалз Ірландія Т/А Тева Фармасьютикалз Ірландія, Ірландія","['порошок для інгаляцій, 160 мкг/4,5 мкг/дозу (120 доз) в інгаляторах № 1 (1х1) у пакетиках', 'порошок для інгаляцій, 320 мкг/9 мкг/дозу (60 доз) в інгаляторах № 1 (1х1) у пакетиках']","['powder for inhalation, 160 mcg / 4.5 mcg / dose (120 doses) in inhalers № 1 (1x1) in sachets', 'powder for inhalation, 320 mcg / 9 mcg / dose (60 doses) in inhalers № 1 (1x1) in sachets']","https://mozdocs.kiev.ua/likiview.php?id=42948","DUORESP SPІROMAKS","DUORESP SPIROMAX"
"R03AK07","['Formoterol', 'Budesonide']","['Формотерол', 'Будесонід']","СИМБІКОРТ ТУРБУХАЛЕР","SYMBICORT®TURBU HALER®","АстраЗенека АБ, Швеція","['порошок для інгаляцій, дозований, по 160 мкг/4,5 мкг/доза, по 60 доз у інгаляторі', 'порошок для інгаляцій, дозований, по 80 мкг/4,5 мкг/доза, по 60 доз у інгаляторі']","['powder for inhalation, dosed, 160 mcg / 4.5 mcg / dose, 60 doses in the inhaler', 'powder for inhalation, dosed, 80 mcg / 4.5 mcg / dose, 60 doses in the inhaler']","https://compendium.com.ua/info/170267/simbikort‐turbukhaler/","SIMBІKORT TURBUHALER","SYMBICORT®TURBU HALER®"
"R03AK07","['Formoterol', 'Budesonide']","['Формотерол', 'Будесонід']","ФОРАКОРТ®200","FORACORT 200","Медіспрей Лабораторіс Пвт. Лтд.","['аерозоль для інгаляцій, дозований, 200 мкг/6 мкг/дозу по 120 доз в алюмінієвому контейнері']","['aerosol for inhalation, dosed, 200 mcg / 6 mcg / dose 120 doses in an aluminium container']","https://www.apteka24.ua/forakort‐aer‐200mkg‐120doz/","FORAKORT®200","FORACORT 200"
"R03AL04","['Indacaterol', 'Glycopyrronium bromide']","['Індакатерол та глікопірронію бромід']","УЛЬТІБРО БРИЗХА ЙЛЕР","ULTIBRO® BREEZHALER®","Новартіс Фарма Штейн АГ, Швейцарія","['порошок для інгаляцій, тверді капсули по 110 мкг/50 мкг по 6 капсул у блістері по 1, по 2 або по 5 блістерів у пачці разом із одним інгалятором у коробці по 6 капсул у блістері, по 5 блістерів у пачці разом із одним інгалятором, по 3 пачки у коробці']","['powder for inhalation, hard capsules of 110 μg / 50 μg 6 capsules in a blister 1, 2 or 5 blisters in a pack with one inhaler in a box 6 capsules in a blister, 5 blisters in a pack with one inhaler, 3 packs in a box']","https://compendium.com.ua/info/251824/ul_tibro‐brizkhajler/","UL'TІBRO BRIZHA JLER","ULTIBRO® BREEZHALER®"
"R03BB01","['Ipratropium bromide']","['Іпратропію бромід']","ІПРАТРОПІУМ‐ ІНТЕЛІ","IPRATROPIUM‐ INTELI","Лабораторіо Альдо‐Юніон, С.А., Іспанія","['інгаляція під тиском, розчин по 20 мкг/доза по 200 доз (10 мл) у балоні № 1']","['inhalation under pressure, solution of 20 μg / dose of 200 doses (10 ml) in a cylinder № 1']","https://compendium.com.ua/info/326660/","ІPRATROPІUM‐ ІNTELІ","IPRATROPIUM‐ INTELI"
"R03BB01","['Ipratropium bromide']","['Іпратропію бромід']","ФРІВЕЙ®","FREEWAY","ПАТ ""Фармак"", м. Київ, Україна","['розчин для інгаляцій, 0,25 мг/мл по 25 мл у флаконі,']","['solution for inhalation, 0.25 mg / ml in 25 ml vials,']","https://compendium.com.ua/info/349034/539413/","FRІVEJ®","FREEWAY"
"R03AC02","['Salbutamol']","['Сальбутамол']","АСТАЛІН","ASTHALIN","Ципла Лтд., Індія","['аерозоль (суспензія) для інгаляцій, 100 мкг/дозу, по 200 доз у контейнері']","['aerosol (suspension) for inhalation, 100 mcg / dose, 200 doses in a canister']","https://mozdocs.kiev.ua/likiview.php?id=45031","ASTALІN","ASTHALIN"
"R03AC02","['Salbutamol']","['Сальбутамол']","ВЕНТОЛІН™ ЕВОХАЛЕР™","VENTOLIN™ EVOHALER","Глаксо Веллком С.А., Іспанія","['аерозоль для інгаляцій, дозований, 100 мкг/дозу по 200 доз у балоні']","['aerosol for inhalation, dosed, 100 mcg / dose 200 doses in a canister']","https://compendium.com.ua/info/172380/ventolin‐evokhaler‐/","VENTOLІN™ EVOHALER™","VENTOLIN™ EVOHALER"
"R03AC02","['Salbutamol']","['Сальбутамол']","ВЕНТОЛІН™ НЕБУЛИ","VENTOLIN™ NEBULES","Аспен Бад Олдесло ГмбХ, Німеччина","['розчин для інгаляцій, 2,5 мг/2,5 мл по 2,5 мл у небулі по 10 небул у пакетику з']","['solution for inhalation, 2.5 mg / 2.5 ml 2.5 ml per plastic ampoule 10 ampoules in an']","https://compendium.com.ua/info/132865/ventolin‐nebuly/","VENTOLІN™ NEBULI","VENTOLIN™ NEBULES"
"nan","['nan']","['nan']","nan","nan","nan","['алюмінієвої фольги № 4 пакетика']","['aluminium foil sachet 4 sachets']","https://compendium.com.ua/info/132865/ventolin‐nebuly/","nan","nan"
"R03AC02","['Salbutamol']","['Сальбутамол']","НЕБУТАМОЛ®","NEBUTAMOL","ТОВ ""Юрія‐Фарм"", м.Київ, Україна","['розчин для інгаляцій, 1 мг/мл по 2 мл або 2,5 мл у контейнерах однодозових по 10 контейнерів у пакеті з полімерної плівки по 1 або по 4 пакети у пачці з картону']","['solution for inhalation, 1 mg / ml in 2 ml or 2.5 ml in single', 'dose containers 10 containers in a package of polymer film 1 or 4 bags in a cardboard pack']","https://compendium.com.ua/info/200433/nebutamol‐sup‐sup‐/","NEBUTAMOL®","NEBUTAMOL"
"R03AC02","['Salbutamol']","['Сальбутамол']","САЛЬБУТАМОЛ","SALBUTAMOL","ГлаксоВеллком Продакшн, Франція","['аерозоль для інгаляцій, дозований, 100 мкг/дозу, 1 балон з дозуючим клапаном на 200 доз']","['aerosol for inhalation, dosed, 100 mcg / dose, 1 canister with dosing valve', '200 doses']","https://compendium.com.ua/info/2225/116721/","SAL'BUTAMOL","SALBUTAMOL"
"R03AC02","['Salbutamol']","['Сальбутамол']","САЛЬБУТАМОЛ‐ ІНТЕЛІ","SALBUTAMOL‐ INTELI","Лабораторіо Альдо‐Юніон, С.А., Іспанія","['Інгаляція під тиском, суспензія.']","['Inhalator under pressure, suspension.']","https://compendium.com.ua/info/171527/111149/","SAL'BUTAMOL‐ ІNTELІ","SALBUTAMOL‐ INTELI"
"R03AC02","['Salbutamol']","['Сальбутамол']","САЛЬБУТАМОЛ‐ НЕО","SALBUTAMOL‐NEO","ТОВ ""Мікрофарм"", м.Харків, Україна","['інгаляція під тиском, 100 мкг/доза по 12 мл/200 доз у контейнері']","['inhalator under pressure, 100 mcg / dose of 12 ml', '200 doses in a container']","https://compendium.com.ua/info/172656/140687/","SAL'BUTAMOL‐ NEO","SALBUTAMOL‐NEO"
"R03AK06","['Salmeterol and fluticasone']","['Сальметерол та флутиказон']","АІРТЕК","AIRTEC","Гленмарк Фармасьютикалз ЛТД., Індія","['аерозоль для інгаляцій дозований, 25/125 мкг/дозу, по 120 доз в алюмінієвому контейнері', 'аерозоль для інгаляцій дозований, 25/250 мкг/дозу, по 120 доз в алюмінієвому контейнері', 'аерозоль для інгаляцій дозований, 25/50 мкг/дозу, по 120 доз в алюмінієвому контейнері']","['aerosol for inhalation dosed, 25/125 mcg / dose, 120 doses in an aluminium container', 'aerosol for inhalation dosed, 25/250 mcg / dose, 120 doses in an aluminium container', 'aerosol for inhalation dosed, 25/50 mcg / dose, 120 doses in an aluminum container']","https://compendium.com.ua/info/220110/airtek/","AІRTEK","AIRTEC"
"R03AK06","['Salmeterol and fluticasone']","['Сальметерол та флутиказон']","СЕРЕТИД™ ДИСКУС™","SERETIDE™ DISKUS™","Глаксо Оперейшнс ЮК Лімітед, Великобританія","['порошок для інгаляцій, дозований, 50 мкг/100 мкг/дозу, по 60 доз у 1 дискусі', 'порошок для інгаляцій, дозований, 50 мкг/250 мкг/дозу, по 60 доз у 1 дискусі', 'порошок для інгаляцій, дозований, 50 мкг/500 мкг/дозу, по 60 доз у 1 дискусі']","['powder for inhalation, dosed, 50 mcg / 100 mcg / dose, 60 doses in 1 disc', 'powder for inhalation, dosed, 50 mcg / 250 mcg / dose, 60 doses in 1 disc', 'powder for inhalation, dosed, 50 mcg / 500 mcg / dose, 60 doses in 1 disc']","https://compendium.com.ua/info/167549/seretid‐diskus‐/","SERETID™ DISKUS™","SERETIDE™ DISKUS™"
"R03AK06","['Salmeterol and fluticasone']","['Сальметерол та флутиказон']","СІРДУПЛА","SIRDUPLA","3М Хелс Кеа Лімітед, Велика Британія","['інгаляція під тиском, суспензія, 25 мкг/125 мкг/дозу, по 120 доз в інгаляторі', 'інгаляція під тиском, суспензія, 25 мкг/250 мкг/дозу, по 120 доз в інгаляторі']","['inhalation under pressure, suspension, 25 mcg / 125 mcg / dose, 120 doses in the inhaler', 'inhalation under pressure, suspension, 25 mcg / 250 mcg / dose, 120 doses in the inhaler']","https://mozdocs.kiev.ua/likiview.php?id=47345","SІRDUPLA","SIRDUPLA"
"R03BB04","['Tiotropium bromide']","['Тіотропію бромід']","СПІРИВА®","SPIRIVA®","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ, Нiмеччина","['Порошок для інгаляцій, тверді капсули по 18 мкг, N 10 капсул']","['Powder for inhalation, hard capsules of 18 mcg, N 10 capsules']","https://mozdocs.kiev.ua/likiview.php?id=41845","SPІRIVA®","SPIRIVA®"
"R03BB04","['Tiotropium bromide']","['Тіотропію бромід']","СПІРИВА® РЕСПІМА Т®","SPIRIVA®RESPIMAT®","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ, Нiмеччина","['розчин для інгаляцій, 2,5 мкг/інгаляцію, по 4 мл у картриджі (60 інгаляцій)']","['solution for inhalation, 2.5 μg / inhalation, 4 ml in a cartridge (60 inhalations)']","https://compendium.com.ua/info/172922/spiriva-sup-sup-respimat-sup-sup-/","SPІRIVA® RESPІMA T®","SPIRIVA®RESPIMAT®"
"R03AL02","['Salbutamol', 'Ipratropium bromide']","['Сальбутамол', 'Iпратропію бромід,']","ІПРАТРОПІЙ‐ САЛЬБУТАМОЛ‐ ТЕВА","IPRATROPIUM‐ SALBUTAMOL‐TEVA","АЙВЕКС Фармаcьютикалз ЮК","['розчин для розпилення по 2,5 мл в ампулах № 20 (5х4) у пакетиках з ламінованої фольги']","['2.5 ml spray solution in ampoules № 20 (5x4) in laminated foil bags']","https://mozdocs.kiev.ua/likiview.php?id=43218","ІPRATROPІJ‐ SAL'BUTAMOL‐ TEVA","IPRATROPIUM‐ SALBUTAMOL‐TEVA"
"R03AL03","['Vilanterol and umeclidinium bromide']","['Вілантерол та умеклідінію бромід']","АНОРО™ ЕЛЛІПТА™","ANORO™ ELLIPTA™","Глаксо Оперейшнс ЮК Лімітед, Великобританія","['порошок для інгаляцій, дозований, по 55 мкг/22 мкг/дозу по 30 доз у інгаляторі']","['powder for inhalation, dosed, 55 μg / 22 μg / dose 30 doses in the inhaler']","https://compendium.com.ua/info/255238/anoro‐ellipta‐/","ANORO™ ELLІPTA™","ANORO™ ELLIPTA™"
"N05AA01","['Chlorpromazine']","['Хлорпромазин']","АМІНАЗИН","AMINAZIN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров\я народу"", Україна","['""розчин для інєкцій, 25 мг/мл по 2 мл в ампулі""']","['solution for injection, 25 mg / ml in 2 ml ampoules']","https://compendium.com.ua/info/1637/13256/","AMІNAZIN","AMINAZIN"
"N05AA01","['Chlorpromazine']","['Хлорпромазин']","АМІНАЗИН‐ЗДОРОВ’Я","AMINAZIN ZDOROVYE ‐","ТОВ ""Харківське фармацевтичне підприємство ""Здоров\я народу"", Україна","['табл. по 25 мг, 50 мг, 100 мг']","['tablet. 25 mg, 50 mg, 100 mg']","https://compendium.com.ua/info/60153/aminazin‐zdorov_e/","AMІNAZIN‐ZDOROV’Ja","AMINAZIN ZDOROVYE ‐"
"N05AA02","['Levomepromazine']","['Левомепромазин']","ТИЗЕРЦИН®","TISERCIN®","ЗАТ Фармацевтичний завод ЕГІС, Угорщина","['""розчин для інєкцій, 25 мг/мл по 1 мл в ампулі', 'табл. по 25 мг""']","['solution for injection, 25 mg / ml 1 ml in an ampoule', 'tablet. 2 5 mg']","https://compendium.com.ua/info/11824/tizertsin‐sup‐sup‐/","TIZERTsIN®","TISERCIN®"
"N05AB02","['Fluphenazine']","['Флуфеназин']","МОДИТЕН ДЕПО","MODITEN DEPO","КРКА, д.д., Ново место, Словенія","['""розчин для інєкцій, 25 мг/мл по 1 мл в ампулі""']","['solution for injection, 25 mg / ml 1 ml in an ampoule']","https://compendium.com.ua/info/12160/","MODITEN DEPO","MODITEN DEPO"
"N05AB04","['Prochlorperazine']","['Прохлорперазин']","ВЕРТИНЕКС®","VERTINEX®","КУСУМ ХЕЛТХКЕР ПВТ ЛТД, Індія","['табл. по 5 мг']","['tablet. 5 mg']","https://compendium.com.ua/info/220097/vertineks‐sup‐sup‐/","VERTINEKS®","VERTINEX®"
"N05AB06","['Trifluoperazine']","['Трифлуоперазин']","ТРИФТАЗИН‐ДАРНИЦЯ","TRIFTAZIN‐ DARNITSA","ПрАТ ""Фармацевтична фірма ""Дарниця"", Україна","['""розчин для інєкцій, 2 мг/мл по 1 мл в ампулі""']","['solution for injection, 2 mg / ml 1 ml in an ampoule']","https://compendium.com.ua/info/2143/triftazin‐darnitsa/","TRIFTAZIN‐DARNITsJa","TRIFTAZIN‐ DARNITSA"
"N05AC02","['Thioridazine']","['Тіоридазин']","СОНАПАКС ® 10 МГ СОНАПАКС ® 25 МГ","","Фармзавод Єльфа А.Т., Польща","['табл. по 10 мг']","['tablet. 10 mg']","https://compendium.com.ua/info/1366/sonapaks‐sup‐sup‐/","SONAPAKS ® 10 MG SONAPAKS ® 25 MG","SONAPAKS ® 10 MG SONAPAKS ® 25 MG"
"N05AD01","['Haloperidol']","['Галоперидол']","ГАЛОПЕРИДОЛ ДЕКАНО АТ","HALOPERIDOL DECANOATE","ВАТ ""Гедеон Ріхтер"", Угорщина","['""розчин для інєкцій, 50 мг/мл, по 1 мл в ампулі""']","['solution for injection, 50 mg / ml, 1 ml in an ampoule']","https://compendium.com.ua/info/167876/","GALOPERIDOL DEKANO AT","HALOPERIDOL DECANOATE"
"N05AD01","['Haloperidol']","['Галоперидол']","ГАЛОПЕРИДОЛ ФОРТЕ","HALOPERIDOL FORTE","ВАТ ""Гедеон Ріхтер"", Угорщина","['табл. по 5 мг']","['tablet. 5 mg']","https://compendium.com.ua/info/167874/galoperidol‐tabletki/","GALOPERIDOL FORTE","HALOPERIDOL FORTE"
"N05AD01","['Haloperidol']","['Галоперидол']","ГАЛОПЕРИДОЛ‐РІХТЕР","HALOPERIDOL‐ RICHTER","ВАТ ""Гедеон Ріхтер"", Угорщина","['розчин для інєкцій, 5 мг/мл, по 1 мл в ампулі', 'табл. по 1,5 мг""']","['solution for injection, 5 mg / ml, 1 ml in an ampoule', 'tablet. 1.5 mg,']","https://compendium.com.ua/info/167874/galoperidol‐tabletki/","GALOPERIDOL‐RІHTER","HALOPERIDOL‐ RICHTER"
