"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"amikacin","Ophthalmological preparations > Anti-infective agents","","Other specified conjunctivitis","","Added","nan"
"amikacin","Ophthalmological preparations > Anti-infective agents","","Infectious blepharitis","","Added","nan"
"amikacin","Access group antibiotics","Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)","Acute pyelonephritis (severe)","cefotaxime","Added","J01GB06"
"amikacin","Access group antibiotics","Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)","Acute pyelonephritis (severe)","ceftriaxone","Added","J01GB06"
"amikacin","Access group antibiotics","Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)","Sepsis without septic shock","cloxacillin","Added","J01GB06"
"amikacin","Antituberculosis medicines","Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J01GB06"
"amiloride","Diuretics","Oral > Solid: 5 mg (hydrochloride)","Oedema","","Added","C03DB01"
"amiloride","Diuretics","Oral > Solid: 5 mg (hydrochloride)","Ascites","","Added","C03DB01"
"amiodarone","Antiarrhythmic medicines","Parenteral > General injections > IV: 50 mg per  mL in 3 ampoule (hydrochloride)
Oral > Solid: 100 mg (hydrochloride); 200 mg (hydrochloride); 400 mg (hydrochloride)","Cardiac arrhythmia","","Added","C01BD01"
"amitriptyline","Medicines for other common symptoms in palliative care","Oral > Solid: 25 mg; 10 mg; 75 mg","Palliative care","","Added","N06AA09"
"amlodipine","Antihypertensive medicines","Oral > Solid: 5 mg (as maleate, mesylate or besylate)","Essential hypertension","","Added","C08CA01"
"amodiaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride)","Malaria due to Plasmodium falciparum","","Added","P01BA06"
"amodiaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride)","Malaria due to Plasmodium vivax","","Added","P01BA06"
"amodiaquine + sulfadoxine + pyrimethamine","Antimalarial medicines > For chemoprevention","Oral > Solid: 76.5 mg (as hydrochloride) [3] + 250 mg + 12.5 mg [1] dispersible tablets in co-package; 153 mg (as hydrochloride) [3] + 500 mg + 25 mg [1] dispersible tablets in co-package","Malaria","","Added","P01BA06"
"amodiaquine + sulfadoxine + pyrimethamine","Antimalarial medicines > For chemoprevention","Oral > Solid: 76.5 mg (as hydrochloride) [3] + 250 mg + 12.5 mg [1] dispersible tablets in co-package; 153 mg (as hydrochloride) [3] + 500 mg + 25 mg [1] dispersible tablets in co-package","Malaria","","Added","P01BD51"
"amoxicillin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection","Sepsis without septic shock","gentamicin","Added","J01CA04"
"amoxicillin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection","Chronic obstructive pulmonary disease with acute exacerbation","","Added","J01CA04"
"amoxicillin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection","Bacterial infection of unspecified site","","Removed","J01CA04"
"amoxicillin","Access group antibiotics","Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid: 250 mg (anhydrous) capsule or tablet; 500 mg (anhydrous) capsule or tablet
Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Oral > Solid: 250 mg (as trihydrate); 500 mg (as trihydrate)
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection","Infectious cystitis","","Removed","J01CA04"
"amoxicillin + clavulanic acid","Access group antibiotics","Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)","Chronic obstructive pulmonary disease with acute exacerbation","","Added","J01CR02"
"amoxicillin + clavulanic acid","Access group antibiotics","Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)","Infectious cystitis","","Added","J01CR02"
"amoxicillin + clavulanic acid","Access group antibiotics","Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Liquid: 250 mg + 62.5 mg per 5 mL powder for oral liquid; 125 mg + 31.25 mg per 5 mL powder for oral liquid
Oral > Solid: 500 mg + 125 mg tablet
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)","Bacterial infection of unspecified site","","Removed","J01CR02"
"amoxicillin + clavulanic acid","Antituberculosis medicines","Oral > Liquid: 250 mg (as trihydrate) + 62.5 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 500 mg (as trihydrate) + 125 mg (as potassium salt)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J01CR02"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Blastomycosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Aspergillosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Cryptococcosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Candidosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Coccidioidomycosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Histoplasmosis","","Added","J02AA01"
"amphotericin B","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Sporotrichosis","","Added","J02AA01"
"amphotericin B","Antileishmaniasis medicines","Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate)","Visceral leishmaniasis","","Added","J02AA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Bacterial pneumonia (Community-acquired pneumonia - severe) [children]","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Acute malnutrition in infants, children or adolescents (complicated) [children]","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Peritonitis (mild-moderate)","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Peritonitis (severe)","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Peritoneal abscess (mild-moderate)","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Peritoneal abscess (severe)","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Sepsis without septic shock","gentamicin","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Bacterial meningitis","","Added","J01CA01"
"ampicillin","Access group antibiotics","Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Bacterial infection of unspecified site","","Removed","J01CA01"
"anastrozole","Hormones and antihormones","Oral > Solid: 1 mg tablet","Other specified malignant neoplasms of breast","","Added","L02BG03"
"anastrozole","Hormones and antihormones","Oral > Solid: 1 mg tablet","Malignant neoplasms of breast","","Added","L02BG03"
"anidulafungin","Antifungal medicines","","Systemic or invasive candidosis","","Added","nan"
"ansuvimab","Medicines for Ebola virus disease","Parenteral > General injections > IV: 400 mg powder for injection","Ebola virus disease","","Added","J06BD04"
"anti-d immunoglobulin","Human immunoglobulins","Parenteral > General injections > IV: 250 µg in single-dose vial
Parenteral > General injections > IM: 250 µg in single-dose vial","Maternal care for red cell antibodies","","Added","J06BB01"
"anti-d immunoglobulin","Human immunoglobulins","Parenteral > General injections > IV: 250 µg in single-dose vial
Parenteral > General injections > IM: 250 µg in single-dose vial","Rh incompatibility reaction","","Added","J06BB01"
"anti-rabies immunoglobulin","Human immunoglobulins","Parenteral > General injections > IM: 150 IU per  mL in vial
Parenteral > Locoregional injections > Other: 150 IU per  mL in vial","Rabies","","Added","J06BB05"
"anti-rabies virus monoclonal antibodies","Immunologicals > Sera, immunoglobulins and monoclonal antibodies","Parenteral > Locoregional injections > Intradermal: 40 IU per  mL in 1.25 mL vial (human); 40 IU per  mL in 2.5 mL vial (human); 100 IU per  mL in 2.5 mL vial (human); 300 IU per  mL in 10 mL vial (murine); 600 IU per  mL in 1 mL vial (murine); 600 IU per  mL in 2.5 mL vial (murine); 600 IU per  mL in 5 mL vial (murine)","Rabies","","Added","nan"
"anti-tetanus immunoglobulin","Human immunoglobulins","Parenteral > General injections > IM: 500 IU in vial","Tetanus","","Added","J06BB02"
"antirabies hyperimmune serum","Immunologicals > Sera, immunoglobulins and monoclonal antibodies","Parenteral > General injections > unspecified: 1000 IU in 5 mL ampoule","Rabies","","Removed","nan"
"antivenom immunoglobulin","Immunologicals > Sera, immunoglobulins and monoclonal antibodies","Parenteral > General injections > IV: ","Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified","","Added","nan"
"antivenom sera","Immunologicals > Sera, immunoglobulins and monoclonal antibodies","Parenteral > General injections > IV: ","Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified","","Removed","nan"
"apixaban","Medicines affecting coagulation","","Venous thromboembolism","","Added","nan"
"apixaban","Medicines affecting coagulation","","Other specified atrial fibrillation","","Added","nan"
"aprepitant","Antiemetic medicines","Oral > Liquid: 125 mg powder for oral suspension (in sachet)
Oral > Solid: 80 mg; 125 mg; 165 mg","Nausea or vomiting","","Added","A04AD12"
"arsenic trioxide","Cytotoxic medicines","Parenteral > General injections > IV: 1 mg per  mL concentrate for solution for infusion; 2 mg per  mL concentrate for solution for infusion","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01XX27"
"artemether","Antimalarial medicines > For curative treatment","Parenteral > General injections > IM: 80 mg per  mL in 1 mL ampoule (oily injection)","Malaria due to Plasmodium falciparum","","Added","P01BE02"
"artemether","Antimalarial medicines > For curative treatment","Parenteral > General injections > IM: 80 mg per  mL in 1 mL ampoule (oily injection)","Malaria due to Plasmodium vivax","","Added","P01BE02"
"artemether + lumefantrine","Antimalarial medicines > For curative treatment","Oral > Solid: 20 mg + 120 mg tablet; 20 mg + 120 mg dispersible tablet","Malaria due to Plasmodium falciparum","","Added","P01BF01"
"artemether + lumefantrine","Antimalarial medicines > For curative treatment","Oral > Solid: 20 mg + 120 mg tablet; 20 mg + 120 mg dispersible tablet","Malaria due to Plasmodium vivax","","Added","P01BF01"
"artesunate","Antimalarial medicines > For curative treatment","Parenteral > General injections > IV: 60 mg in ampoule containing anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution
Oral > Solid: 50 mg tablet
Local > Rectal > Other: 50 mg capsules; 200 mg capsules; 100 mg capsules","Malaria due to Plasmodium falciparum","","Added","P01BE03"
"artesunate","Antimalarial medicines > For curative treatment","Parenteral > General injections > IV: 60 mg in ampoule containing anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution
Oral > Solid: 50 mg tablet
Local > Rectal > Other: 50 mg capsules; 200 mg capsules; 100 mg capsules","Malaria due to Plasmodium vivax","","Added","P01BE03"
"artesunate + amodiaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 25 mg + 67.5 mg tablet; 50 mg + 135 mg tablet; 100 mg + 270 mg tablet","Malaria due to Plasmodium falciparum","","Added","P01BF03"
"artesunate + amodiaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 25 mg + 67.5 mg tablet; 50 mg + 135 mg tablet; 100 mg + 270 mg tablet","Malaria due to Plasmodium vivax","","Added","P01BF03"
"artesunate + mefloquine","Antimalarial medicines > For curative treatment","Oral > Solid: 25 mg + 55 mg tablet; 100 mg + 220 mg tablet","Malaria due to Plasmodium falciparum","","Added","P01BF02"
"artesunate + mefloquine","Antimalarial medicines > For curative treatment","Oral > Solid: 25 mg + 55 mg tablet; 100 mg + 220 mg tablet","Malaria due to Plasmodium vivax","","Added","P01BF02"
"artesunate + pyronaridine tetraphosphate","Antimalarial medicines > For curative treatment","Oral > Solid: 60 mg + 180 mg tablet; 20 mg + 60 mg granules","Malaria due to Plasmodium falciparum","","Added","P01BF06"
"artesunate + pyronaridine tetraphosphate","Antimalarial medicines > For curative treatment","Oral > Solid: 60 mg + 180 mg tablet; 20 mg + 60 mg granules","Malaria due to Plasmodium vivax","","Added","P01BF06"
"ascorbic acid","Vitamins and minerals","Oral > Solid: 50 mg","Scurvy","","Added","A11GA01"
"asparaginase","Cytotoxic medicines","Powder for injection: 10 000 IU in vial.
Parenteral > General injections > unspecified: 10000 IU in vial powder for injection","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01XX02"
"asparaginase","Cytotoxic medicines","Powder for injection: 10 000 IU in vial.
Parenteral > General injections > unspecified: 10000 IU in vial powder for injection","Lymphoid leukaemia, not elsewhere classified","","Added","L01XX02"
"atazanavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 100 mg (as sulfate); 300 mg (as sulfate)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AE08"
"atazanavir + ritonavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 300 mg (as sulfate) + 100 mg tablet (heat stable)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR23"
"atenolol","Antianginal medicines","Oral > Solid: 50 mg; 100 mg","Angina pectoris","","Removed","C07AB03"
"atenolol","Antihypertensive medicines","Oral > Solid: 50 mg; 100 mg
","Essential hypertension","","Removed","C07AB03"
"atenolol","Antihypertensive medicines","Oral > Solid: 50 mg; 100 mg
","Essential hypertension","","Added","nan"
