"id","label_uk","label_ru","label_fr","label_en","alias_list_uk","alias_list_ru","alias_list_fr","alias_list_en","chembl_id","chebi_id","atc_code","rxnorm","ukwiki_sitelink","frwiki_sitelink","ruwiki_sitelink","enwiki_sitelink","tallman_name"
"Q202476","паратгормон","паратиреоидный гормон","parathormone","parathyroid hormone","[]","['паратгормон', 'паратирин', 'птг']","['hormones parathyroïdiennes', 'pth', 'hormone parathyroïdienne']","['parathyroid hormone 1', 'parathormone', 'parathyrin', 'pth', 'preproparathyroid hormone', 'prepro-pth', 'parathyroid hormone']","","","","","https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D1%82%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://fr.wikipedia.org/wiki/Parathormone","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D1%82%D0%B8%D1%80%D0%B5%D0%BE%D0%B8%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://en.wikipedia.org/wiki/Parathyroid_hormone",""
"Q203635","мирра","мирра","myrrhe","myrrh","[]","['мирро', 'миро', 'смирна']","['baume de la mecque']","[]","","","","","https://uk.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%B0","https://fr.wikipedia.org/wiki/Myrrhe","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80%D1%80%D0%B0_(%D1%81%D0%BC%D0%BE%D0%BB%D0%B0)","https://en.wikipedia.org/wiki/Myrrh",""
"Q204193","","","extrait d'écorce de cannelle","cinnamon bark extract","[]","[]","['huile de cannelle']","[]","","","","","","","","",""
"Q208360","","","lutropine alfa","lutropin alfa","[]","[]","[]","[]","CHEMBL1201419","","G03GA07","388084","","","","",""
"Q210420","кортикостероїди","кортикостероиды","corticoïde","corticosteroid","['кортикостероїд']","['кортикостероид', 'кортикоиды', 'глюкокортикостероды']","['corticostéroides', 'corticoide', 'corticostéroïde', 'corticostéroide', 'glucocorticostéroïde', 'corticoides', 'cortico-stéroide', 'corticoïdes']","[]","","50858","S02BA","","https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BE%D1%97%D0%B4%D0%B8","https://fr.wikipedia.org/wiki/Cortico%C3%AFde","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B8%D0%B4%D1%8B","https://en.wikipedia.org/wiki/Corticosteroid",""
"Q251005","ністатин","нистатин","nystatine","nystatin","[]","[]","[]","[]","CHEMBL229383","59676","D01AA01","7597","https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D1%81%D1%82%D0%B0%D1%82%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Nystatine","https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D1%81%D1%82%D0%B0%D1%82%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Nystatin",""
"Q269829","плацебо","плацебо","placebo","placebo","[]","['эффект плацебо']","['effet placebo']","['placebos']","","","","","https://uk.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%86%D0%B5%D0%B1%D0%BE","https://fr.wikipedia.org/wiki/Placebo_(pharmacologie)","https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%86%D0%B5%D0%B1%D0%BE","https://en.wikipedia.org/wiki/Placebo",""
"Q275792","фізіологічний розчин","изотонический раствор","solution physiologique","saline solution","[]","['физиологические растворы', 'физиологический раствор', 'физраствор', 'изотонические растворы']","['sérum physiologique', 'sérum phy', 'eau physiologique', 'liquide physiologique']","['saline', 'sodium chloride solution']","","","","","https://uk.wikipedia.org/wiki/%D0%A4%D1%96%D0%B7%D1%96%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D1%80%D0%BE%D0%B7%D1%87%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Solution_physiologique","https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D0%BE%D1%82%D0%BE%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%B0%D1%81%D1%82%D0%B2%D0%BE%D1%80%D1%8B","https://en.wikipedia.org/wiki/Saline_(medicine)",""
"Q292982","альфа-1-антитрипсин","","alpha 1-antitrypsine","serpin family a member 1","[]","[]","['a1at']","['protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin', 'epididymis secretory sperm binding protein', 'alpha-1 antitrypsin', 'alpha-1 protease inhibitor', 'alpha-1-antiproteinase', 'serine (or cysteine) proteinase inhibitor, clade a, member 1', 'serpin peptidase inhibitor clade a (alpha-1antiproteinase, antitrypsin) member 1', 'serpin peptidase inhibitor, clade a (alpha-1 antiproteinase, antitrypsin), member 1', 'serpin peptidase inhibitor clade a member 1', 'alpha-1-antitrypsin short transcript variant 1c5', 'alpha-1-antitrypsin null', 'alpha-1-antitrypsin', 'alpha-1-antitrypsin short transcript variant 1c4', 'serpin a1', 'serpina1', 'alfa-1-antitrypsin']","","","","991743","https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D1%84%D0%B0-1-%D0%B0%D0%BD%D1%82%D0%B8%D1%82%D1%80%D0%B8%D0%BF%D1%81%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Alpha-1-antitrypsine","","https://en.wikipedia.org/wiki/Alpha-1_antitrypsin",""
"Q296132","","","apg101","asunercept","[]","[]","[]","['agp101']","","","","","","","","https://en.wikipedia.org/wiki/Asunercept",""
"Q318367","мастика","мастика","mastic","mastic","[]","['мастикс']","[]","['masticha', 'mastiha', 'mastic gum', 'chios gum mastic', 'chios tears', 'gum mastic', 'mastich', 'mastiche', 'mastix', 'mastic resin']","","","","","https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0","https://fr.wikipedia.org/wiki/Mastic_(gomme_naturelle)","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0_(%D1%81%D0%BC%D0%BE%D0%BB%D0%B0)","https://en.wikipedia.org/wiki/Mastic_(plant_resin)",""
"Q340032","","","mumia","mumia","[]","[]","[]","['mummia', 'mummy powder', 'mumia vera aegyptiaca']","","","","","","","","https://en.wikipedia.org/wiki/Mummia",""
"Q349395","","","","yu yee oil","[]","[]","[]","[]","","","","","","","","https://en.wikipedia.org/wiki/Yu_Yee_oil",""
"Q368134","","","vaccin contre les infections invasives à haemophilus influenzae de type b","hib vaccine","[]","[]","[]","['haemophilus influenzae type b vaccine', 'haemophilus influenzae b vaccine']","","","J07AG01","","","https://fr.wikipedia.org/wiki/Vaccin_contre_les_infections_invasives_%C3%A0_Haemophilus_influenzae_de_type_b","","https://en.wikipedia.org/wiki/Hib_vaccine",""
"Q376761","франтішек (ладан)","","","räucherkerzchen","[]","[]","[]","[]","","","","","https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%82%D1%96%D1%88%D0%B5%D0%BA_(%D0%BB%D0%B0%D0%B4%D0%B0%D0%BD)","","","https://en.wikipedia.org/wiki/R%C3%A4ucherkerze",""
"Q383260","вакцина проти грипу","вакцина для профилактики гриппа","vaccin contre la grippe","influenza vaccine","['вакцина для профілактики грипу']","[]","['vaccin contre la grippe saisonnière']","['flu shot', 'flu jab', 'influenza vaccines']","","","J07BB","","https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%BA%D1%86%D0%B8%D0%BD%D0%B0_%D0%BF%D1%80%D0%BE%D1%82%D0%B8_%D0%B3%D1%80%D0%B8%D0%BF%D1%83","https://fr.wikipedia.org/wiki/Vaccin_contre_la_grippe_saisonni%C3%A8re","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BA%D1%86%D0%B8%D0%BD%D1%8B_%D0%B4%D0%BB%D1%8F_%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B8_%D0%B3%D1%80%D0%B8%D0%BF%D0%BF%D0%B0","https://en.wikipedia.org/wiki/Influenza_vaccine",""
"Q386664","кортикотропний рилізінг-фактор","кортиколиберин","corticolibérine","corticotropin releasing hormone","[]","['кортикотропин-рилизинг-гормон', 'кортикотропин-рилизинг-фактор']","[]","['crh', 'crf', 'corticotropin-releasing factor', 'corticotropin-releasing hormone', 'corticoliberin']","","","","","https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%BD%D0%B8%D0%B9_%D1%80%D0%B8%D0%BB%D1%96%D0%B7%D1%96%D0%BD%D0%B3-%D1%84%D0%B0%D0%BA%D1%82%D0%BE%D1%80","https://fr.wikipedia.org/wiki/Corticolib%C3%A9rine","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D0%BB%D0%B8%D0%B1%D0%B5%D1%80%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Corticotropin-releasing_hormone",""
"Q388565","рифаміцинова група","рифамицин","rifamycine","rifamycin","[]","['рифамициновые антибиотики', 'рифамициновая группа']","[]","['rifamycins']","","","S01AA16","","https://uk.wikipedia.org/wiki/%D0%A0%D0%B8%D1%84%D0%B0%D0%BC%D1%96%D1%86%D0%B8%D0%BD%D0%BE%D0%B2%D1%96_%D0%B0%D0%BD%D1%82%D0%B8%D0%B1%D1%96%D0%BE%D1%82%D0%B8%D0%BA%D0%B8","https://fr.wikipedia.org/wiki/Rifamycine","https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D1%84%D0%B0%D0%BC%D0%B8%D1%86%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Rifamycin",""
"Q408014","хондроїтин","хондроитина сульфат","sulfate de chondroïtine","chondroitin sulfate","['хондроїтинсульфат']","['хондролон', 'хондроитинсульфаты', 'хондроитин', 'хондроитин сульфат', 'хондроитин-сульфат', 'хондроитинсульфат', 'структум']","['sulfate de chondroitine', 'chondroïtine sulfate']","['chondroitin sulfate', 'poly-1(2/3)-n-acetyl-2-amino-2-deoxy-3-o-beta-d-glucopyranurosyl-4-(6)sulfonyl-d-galactose', 'chondroitin 4-sulfate', 'chondroitin 4-sulfate']","CHEMBL2303614","18250","M01AX25","","https://uk.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BD%D0%B4%D1%80%D0%BE%D1%97%D1%82%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Sulfate_de_chondro%C3%AFtine","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BD%D0%B4%D1%80%D0%BE%D0%B8%D1%82%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%84%D0%B0%D1%82%D1%8B","https://en.wikipedia.org/wiki/Chondroitin_sulfate",""
"Q409255","","рениновый рецептор","inhibiteur de la rénine","renin inhibitor","[]","['(про)рениновый рецептор']","[]","[]","","","C09XA","","","","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9_%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D1%80","https://en.wikipedia.org/wiki/Renin_inhibitor",""
"Q410358","сальбутамол","сальбутамол","salbutamol","rac-salbutamol","[]","['саламол', 'астахалин', 'циклокапс', 'асталин', 'сальгим', 'альбутерол', 'цибутол', 'сальбен', 'вентолин', 'вентокол']","[]","['bta204', 'albuterol', 'sch-13949w', '(±)-salbutamol']","","","R03AC02","435","https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D1%8C%D0%B1%D1%83%D1%82%D0%B0%D0%BC%D0%BE%D0%BB","https://fr.wikipedia.org/wiki/Salbutamol","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D1%8C%D0%B1%D1%83%D1%82%D0%B0%D0%BC%D0%BE%D0%BB","https://en.wikipedia.org/wiki/Salbutamol",""
"Q410441","модафініл","модафинил","modafinil","modafinil","[]","[]","['c15h15no2s', 'modasomil', 'virgyl', 'provigil', 'modiodal', 'alertec', '68693-11-8']","['provigil®', '2-((diphenylmethyl)sulfinyl)acetamide', 'modafinilum', 'modafinilo', 'modafinil', 'moderateafinil', 'alertec']","CHEMBL1373","77585","N06BA07","30125","https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B4%D0%B0%D1%84%D1%96%D0%BD%D1%96%D0%BB","https://fr.wikipedia.org/wiki/Modafinil","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B4%D0%B0%D1%84%D0%B8%D0%BD%D0%B8%D0%BB","https://en.wikipedia.org/wiki/Modafinil",""
"Q411198","тинзапарин","","tinzaparine sodique","tinzaparin sodium","[]","[]","[]","['innohep']","CHEMBL1201414","","","","https://uk.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BD%D0%B7%D0%B0%D0%BF%D0%B0%D1%80%D0%B8%D0%BD","","","https://en.wikipedia.org/wiki/Tinzaparin_sodium",""
"Q415178","івермектин","ивермектин","ivermectine","ivermectin","[]","[]","[]","[]","CHEMBL1200633","6078","P02CF01","6069","https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B5%D1%80%D0%BC%D0%B5%D0%BA%D1%82%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Ivermectine","https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B5%D1%80%D0%BC%D0%B5%D0%BA%D1%82%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Ivermectin",""
