"rxcui","ingredient","ing_rxcui"
"1000479","sodium bicarbonate","36676"
"1000479","polyethylene glycol 3350","221147"
"1000486","estrogens, conjugated (USP)","4099"
"1000486","medroxyprogesterone","6691"
"1000487","estrogens, conjugated (USP)","4099"
"1000487","medroxyprogesterone","6691"
"1000490","estrogens, conjugated (USP)","4099"
"1000490","medroxyprogesterone","6691"
"1000491","estrogens, conjugated (USP)","4099"
"1000491","medroxyprogesterone","6691"
"1000495","resveratrol","1000492"
"1000496","estrogens, conjugated (USP)","4099"
"1000496","medroxyprogesterone","6691"
"1000497","estrogens, conjugated (USP)","4099"
"1000497","medroxyprogesterone","6691"
"1000499","estrogens, conjugated (USP)","4099"
"1000499","medroxyprogesterone","6691"
"1000500","estrogens, conjugated (USP)","4099"
"1000500","medroxyprogesterone","6691"
"1000502","dextromethorphan","3289"
"1000502","guaifenesin","5032"
"1000502","phenylephrine","8163"
"1000556","fluorometholone","4491"
"1000556","sulfacetamide","10169"
"1000558","fluorometholone","4491"
"1000558","sulfacetamide","10169"
"1000636","dimethicone","324072"
"1000647","pilocarpine","8328"
"1000656","pilocarpine","8328"
"1000660","pilocarpine","8328"
"1000673","sulfacetamide","10169"
"1000713","sulfacetamide","10169"
"1000720","sulfacetamide","10169"
"1000720","sulfur","10223"
"1000731","sulfacetamide","10169"
"1000731","sulfur","10223"
"1000736","sulfacetamide","10169"
"1000736","sulfur","10223"
"1000859","sulfacetamide","10169"
"1000859","sulfur","10223"
"1000861","sulfacetamide","10169"
"1000861","sulfur","10223"
"1000862","pilocarpine","8328"
"1000870","pilocarpine","8328"
"1000876","pilocarpine","8328"
"1000895","sulfacetamide","10169"
"1000895","sulfur","10223"
"1000897","pilocarpine","8328"
"1000903","pilocarpine","8328"
"1000907","pilocarpine","8328"
"1000913","pilocarpine","8328"
"1000915","pilocarpine","8328"
"1000946","sulfacetamide","10169"
"1000946","sulfur","10223"
"1000976","sulfacetamide","10169"
"1000976","sulfur","10223"
"1000981","oxymetazoline","7812"
"1000990","oxymetazoline","7812"
"1000992","oxymetazoline","7812"
"1000994","oxymetazoline","7812"
"1000996","oxymetazoline","7812"
"1001002","oxymetazoline","7812"
"1001004","pilocarpine","8328"
"1001006","pilocarpine","8328"
"1001054","oxymetazoline","7812"
"1001058","oxymetazoline","7812"
"1001066","oxymetazoline","7812"
"1001084","oxymetazoline","7812"
"1001405","docetaxel","72962"
"1001409","calcium carbonate","1897"
"1001409","ergocalciferol","4018"
"1001433","cabazitaxel","996051"
"1001437","caffeine","1886"
"1001437","magnesium salicylate","52364"
"1001476","aspirin","1191"
"1001591","fibrinogen","4385"
"1001591","thrombin","10528"
"1001593","fibrinogen","4385"
"1001593","thrombin","10528"
"1001679","calcium carbonate","1897"
"1001679","cholecalciferol","2418"
"1001679","magnesium oxide","6582"
"1001689","magnesium sulfate","6585"
"1001689","potassium sulfate","34323"
"1001689","sodium sulfate","36721"
"1001690","magnesium sulfate","6585"
"1001690","potassium sulfate","34323"
"1001690","sodium sulfate","36721"
"1001691","calcium carbonate","1897"
"1001691","cholecalciferol","2418"
"1001691","vitamin K1","8308"
"1001714","sulfacetamide","10169"
"1001714","sulfur","10223"
"1001718","sulfacetamide","10169"
"1001718","sulfur","10223"
"1001751","cholecalciferol","2418"
"1001751","calcium citrate","47613"
"1002300","nilotinib","662281"
"1005706","cholecalciferol","2418"
"1005706","calcium citrate","47613"
"1005767","sulfacetamide","10169"
"1005767","sulfur","10223"
"1005819","sulfacetamide","10169"
"1005819","sulfur","10223"
"1005830","prednisolone","8638"
"1005831","prednisolone","8638"
"1005834","sulfacetamide","10169"
"1005834","sulfur","10223"
"1005835","sulfacetamide","10169"
"1005835","sulfur","10223"
"1005853","sulfacetamide","10169"
"1005853","sulfur","10223"
"1005856","sulfacetamide","10169"
"1005856","sulfur","10223"
"1005924","ulipristal","1005921"
"1005928","ulipristal","1005921"
"1006057","sulfacetamide","10169"
"1006057","sulfur","10223"
"1006065","ethinyl estradiol","4124"
"1006065","levonorgestrel","6373"
"1006079","benzocaine","1399"
"1006079","menthol","6750"
"1006096","allantoin","508"
"1006096","benzocaine","1399"
"1006096","camphor","1952"
"1006096","petrolatum","8091"
"1006105","sulfacetamide","10169"
"1006105","sulfur","10223"
"1006107","sulfacetamide","10169"
"1006110","sulfacetamide","10169"
"1006116","sulfacetamide","10169"
"1006120","sulfacetamide","10169"
"1006122","sulfacetamide","10169"
"1006353","Russian thistle pollen extract","852158"
"1006361","Canada goldenrod pollen extract","995743"
"1006363","Canada goldenrod pollen extract","995743"
"1006365","Canada goldenrod pollen extract","995743"
"1006367","Canada goldenrod pollen extract","995743"
"1006374","mango blossom pollen extract","1006371"
"1006439","sodium fluoride","9873"
"1006482","nettle pollen extract","852046"
"1006486","nettle pollen extract","852046"
"1006558","sodium fluoride","9873"
"1006608","dexmethylphenidate","352372"
"1006610","dexmethylphenidate","352372"
"1006632","ivermectin","6069"
"1006632","pyrantel","8984"
"1006683","sulfacetamide","10169"
"1006684","sulfacetamide","10169"
"1006688","sulfacetamide","10169"
"1006693","sulfacetamide","10169"
"1006801","clozapine","2626"
"1009145","amphetamine","725"
"1009145","dextroamphetamine","3288"
"1009147","amphetamine","725"
"1009147","dextroamphetamine","3288"
"1009216","epoprostenol","8814"
"1009339","bimatoprost","283810"
"1009341","bimatoprost","283810"
"1009433","lidocaine","6387"
"1009456","botulinum toxin type A","1712"
"1009459","botulinum toxin type A","1712"
"1009462","lidocaine","6387"
"1009463","sodium chloride","9863"
"1010033","lidocaine","6387"
"1010035","lidocaine","6387"
"1010077","lidocaine","6387"
"1010234","sulfacetamide","10169"
"1010234","sulfur","10223"
"1010238","sulfacetamide","10169"
"1010238","sulfur","10223"
"1010600","buprenorphine","1819"
"1010600","naloxone","7242"
"1010603","buprenorphine","1819"
"1010603","naloxone","7242"
"1010604","buprenorphine","1819"
"1010604","naloxone","7242"
"1010606","buprenorphine","1819"
"1010606","naloxone","7242"
"1010654","methocarbamol","6845"
"1010671","lidocaine","6387"
"1010673","lidocaine","6387"
"1010688","epinephrine","3992"
"1010688","lidocaine","6387"
"1010692","epinephrine","3992"
"1010692","lidocaine","6387"
"1010696","carbinoxamine","20220"
"1010732","polyethylene glycol 3350","221147"
"1010739","lidocaine","6387"
"1010745","epinephrine","3992"
"1010745","lidocaine","6387"
"1010749","epinephrine","3992"
"1010749","lidocaine","6387"
"1010751","epinephrine","3992"
"1010751","lidocaine","6387"
"1010755","epinephrine","3992"
"1010755","lidocaine","6387"
"1010759","epinephrine","3992"
"1010759","lidocaine","6387"
"1010763","epinephrine","3992"
"1010763","lidocaine","6387"
"1010768","epinephrine","3992"
"1010768","lidocaine","6387"
"1010769","lidocaine","6387"
"1010774","lidocaine","6387"
"1010823","menthol","6750"
"1010835","lidocaine","6387"
"1010836","lidocaine","6387"
"1010844","lidocaine","6387"
"1010846","lidocaine","6387"
"1010878","lidocaine","6387"
"1010895","lidocaine","6387"
"1010900","lidocaine","6387"
"1010902","lidocaine","6387"
"1010931","lidocaine","6387"
"1011080","dexamethasone","3264"
"1011080","tobramycin","10627"
"1011081","ethinyl estradiol","4124"
"1011081","drospirenone","11636"
"1011087","alpha-D-galactosidase enzyme","259351"
"1011093","lidocaine","6387"
"1011482","cetirizine","20610"
"1011485","cetirizine","20610"
"1011625","pegaptanib","498509"
"1011626","pegaptanib","498509"
"1011646","epinephrine","3992"
"1011646","articaine","592464"
"1011648","epinephrine","3992"
"1011648","articaine","592464"
"1011653","pegloticase","1011650"
"1011657","pegloticase","1011650"
"1011703","lidocaine","6387"
"1011705","lidocaine","6387"
"1011707","lidocaine","6387"
"1011709","lidocaine","6387"
"1011710","hydrochlorothiazide","5487"
"1011710","aliskiren","325646"
"1011712","hydrochlorothiazide","5487"
"1011712","aliskiren","325646"
"1011713","hydrochlorothiazide","5487"
"1011713","aliskiren","325646"
"1011715","hydrochlorothiazide","5487"
"1011715","aliskiren","325646"
"1011736","aliskiren","325646"
"1011738","aliskiren","325646"
"1011739","aliskiren","325646"
"1011741","aliskiren","325646"
"1011750","hydrochlorothiazide","5487"
"1011750","aliskiren","325646"
"1011752","hydrochlorothiazide","5487"
"1011752","aliskiren","325646"
"1011753","hydrochlorothiazide","5487"
"1011753","aliskiren","325646"
"1011755","hydrochlorothiazide","5487"
"1011755","aliskiren","325646"
"1011767","lidocaine","6387"
"1011809","epinephrine","3992"
"1011809","lidocaine","6387"
"1011814","epinephrine","3992"
"1011814","lidocaine","6387"
"1011839","benzalkonium","1378"
"1011839","lidocaine","6387"
"1011843","benzethonium","1390"
"1011843","lidocaine","6387"
"1011845","benzethonium","1390"
"1011845","lidocaine","6387"
"1011849","lidocaine","6387"
"1011851","lidocaine","6387"
"1011852","lidocaine","6387"
"1011854","lidocaine","6387"
"1011870","nicotine","7407"
"1011872","nicotine","7407"
"1011875","sulfacetamide","10169"
"1011875","sulfur","10223"
"1011983","benzalkonium","1378"
"1011983","lidocaine","6387"
"1011985","prednisolone","8638"
"1011985","sulfacetamide","10169"
"1011987","prednisolone","8638"
"1011987","sulfacetamide","10169"
"1012015","prednisolone","8638"
"1012015","sulfacetamide","10169"
"1012017","prednisolone","8638"
"1012017","sulfacetamide","10169"
"1012021","prednisolone","8638"
"1012021","sulfacetamide","10169"
"1012066","lidocaine","6387"
"1012068","lidocaine","6387"
"1012081","benzalkonium","1378"
"1012081","lidocaine","6387"
"1012099","benzalkonium","1378"
"1012099","lidocaine","6387"
"1012100","benzalkonium","1378"
"1012100","lidocaine","6387"
"1012204","lidocaine","6387"
"1012218","aspen pollen extract","852339"
"1012221","hydrocortisone","5492"
"1012221","lidocaine","6387"
"1012223","hydrocortisone","5492"
"1012223","lidocaine","6387"
"1012229","hydrocortisone","5492"
"1012229","lidocaine","6387"
"1012233","hydrocortisone","5492"
"1012233","lidocaine","6387"
"1012235","hydrocortisone","5492"
"1012235","lidocaine","6387"
"1012327","hydrocortisone","5492"
"1012327","lidocaine","6387"
"1012345","hydrocortisone","5492"
"1012345","lidocaine","6387"
"1012377","bupivacaine","1815"
"1012377","epinephrine","3992"
"1012381","bupivacaine","1815"
"1012381","epinephrine","3992"
"1012384","bupivacaine","1815"
"1012384","epinephrine","3992"
"1012388","bupivacaine","1815"
"1012388","epinephrine","3992"
"1012391","bupivacaine","1815"
"1012391","epinephrine","3992"
"1012396","bupivacaine","1815"
"1012400","bupivacaine","1815"
"1012404","bupivacaine","1815"
"1012406","bupivacaine","1815"
"1012413","bupivacaine","1815"
"1012413","epinephrine","3992"
"1012417","bupivacaine","1815"
"1012417","epinephrine","3992"
"1012421","bupivacaine","1815"
"1012421","epinephrine","3992"
"1012455","bupivacaine","1815"
"1012457","bupivacaine","1815"
"1012461","bupivacaine","1815"
"1012461","epinephrine","3992"
"1012465","dantrolene","3105"
"1012594","lidocaine","6387"
"1012706","prilocaine","8686"
"1012709","epinephrine","3992"
"1012709","prilocaine","8686"
"1012722","mepivacaine","6759"
"1012724","mepivacaine","6759"
"1012726","mepivacaine","6759"
"1012731","mepivacaine","6759"
"1012733","mepivacaine","6759"
"1012735","mepivacaine","6759"
"1012737","mepivacaine","6759"
"1012739","mepivacaine","6759"
"1012741","mepivacaine","6759"
"1012745","mepivacaine","6759"
"1012756","mepivacaine","6759"
"1012762","mepivacaine","6759"
"1012769","mepivacaine","6759"
"1012769","levonordefrin","132889"
"1012785","mepivacaine","6759"
"1012785","levonordefrin","132889"
"1012895","fingolimod","1012892"
"1012899","fingolimod","1012892"
"1012904","carbinoxamine","20220"
"1012955","lidocaine","6387"
"1012966","lidocaine","6387"
"1012994","lidocaine","6387"
"1013114","prednisolone","8638"
"1013619","chlorpheniramine","2400"
"1013619","phenylephrine","8163"
"1013626","ethinyl estradiol","4124"
"1013626","drospirenone","11636"
"1013626","levomefolate","1592257"
"1013628","levomefolate","1592257"
"1013629","ethinyl estradiol","4124"
"1013629","drospirenone","11636"
"1013629","levomefolate","1592257"
"1013630","ethinyl estradiol","4124"
"1013630","drospirenone","11636"
"1013630","levomefolate","1592257"
"1013636","calcipotriene","29365"
"1013647","chondroitin sulfates","2473"
"1013647","glucosamine","4845"
"1013659","minocycline","6980"
"1013662","minocycline","6980"
"1013665","minocycline","6980"
"1013731","phenylephrine","8163"
"1013731","pyrilamine","9009"
"1013867","alpha 1-antitrypsin","535"
"1013869","european olive pollen extract","852653"
"1013871","european olive pollen extract","852653"
"1013878","eastern white pine pollen extract","852738"
"1013880","eastern white pine pollen extract","852738"
"1013883","loblolly pine pollen extract","900770"
"1013887","black walnut pollen extract","852569"
"1013889","black walnut pollen extract","852569"
"1013891","English walnut pollen extract","852577"
"1013902","English walnut pollen extract","852577"
"1013904","English walnut pollen extract","852577"
"1013910","loblolly pine pollen extract","900770"
"1013916","scrub pine pollen extract","1013913"
"1013923","scrub pine pollen extract","1013913"
"1013927","scrub pine pollen extract","1013913"
"1013930","clonidine","2599"
"1013934","clonidine","2599"
"1013937","clonidine","2599"
"1013939","clonidine","2599"
"1013942","eastern sycamore pollen extract","852746"
"1013951","water oak pollen extract","1013944"
"1013953","water oak pollen extract","1013944"
"1013955","red oak pollen extract","852268"
"1013957","red oak pollen extract","852268"
"1013959","red oak pollen extract","852268"
"1013961","red oak pollen extract","852268"
"1013964","bald cypress pollen extract","995747"
"1013966","canary grass pollen extract","852697"
"1013972","dandelion pollen extract","852079"
"1013974","dandelion pollen extract","852079"
"1013991","rough cocklebur pollen extract","995600"
"1014002","dandelion pollen extract","852079"
"1014005","dextromethorphan","3289"
"1014005","guaifenesin","5032"
"1014018","minocycline","6980"
"1014022","minocycline","6980"
"1014024","minocycline","6980"
"1014123","sulfacetamide","10169"
"1014123","sulfur","10223"
"1014130","sodium chloride","9863"
"1014132","sodium chloride","9863"
"1014137","sodium chloride","9863"
"1014194","cedar elm pollen extract","1014191"
"1014235","privet pollen extract","852622"
"1014242","linoleic acids, conjugated","382272"
"1014266","privet pollen extract","852622"
"1014268","privet pollen extract","852622"
"1014303","fibrinogen","4385"
"1014303","thrombin","10528"
"1014305","fibrinogen","4385"
"1014305","thrombin","10528"
"1014311","sweet gum pollen extract","852627"
"1014313","sweet gum pollen extract","852627"
"1014314","triamcinolone","10759"
"1014326","arroyo willow pollen extract","852170"
"1014328","black willow pollen extract","852162"
"1014331","brompheniramine","1767"
"1014331","pseudoephedrine","8896"
"1014331","chlophedianol","21254"
"1014337","black willow pollen extract","852162"
"1014343","Italian rye grass pollen extract","1014340"
"1014347","Italian rye grass pollen extract","1014340"
"1014357","western white pine pollen extract","900743"
"1014363","longleaf pine pollen extract","1014360"
"1014427","alanine","426"
"1014427","arginine","1091"
"1014427","cysteine","3024"
"1014427","glycine","4919"
"1014427","histidine","5340"
"1014427","isoleucine","6033"
"1014427","leucine","6308"
"1014427","lysine","6536"
"1014427","methionine","6837"
"1014427","phenylalanine","8156"
"1014427","phosphoric acid","8259"
"1014427","proline","8737"
"1014427","serine","9671"
"1014427","threonine","10524"
"1014427","tryptophan","10898"
"1014427","valine","11115"
"1014427","sodium bisulfite","36679"
"1014431","alanine","426"
"1014431","arginine","1091"
"1014431","cysteine","3024"
"1014431","glycine","4919"
"1014431","histidine","5340"
"1014431","isoleucine","6033"
"1014431","leucine","6308"
"1014431","lysine","6536"
"1014431","methionine","6837"
"1014431","phenylalanine","8156"
"1014431","phosphoric acid","8259"
"1014431","proline","8737"
"1014431","serine","9671"
"1014431","threonine","10524"
"1014431","tryptophan","10898"
"1014431","valine","11115"
"1014431","sodium bisulfite","36679"
"1014442","longleaf pine pollen extract","1014360"
"1014446","broad leaved paperbark pollen extract","903913"
"1014571","pseudoephedrine","8896"
"1014571","cetirizine","20610"
"1014573","pseudoephedrine","8896"
"1014573","cetirizine","20610"
"1014580","pseudoephedrine","8896"
"1014580","cetirizine","20610"
"1014583","pseudoephedrine","8896"
"1014583","cetirizine","20610"
"1014599","acetaminophen","161"
"1014599","oxycodone","7804"
"1014609","menthol","6750"
"1014615","acetaminophen","161"
"1014615","oxycodone","7804"
"1014632","acetaminophen","161"
"1014632","oxycodone","7804"
"1014638","isopropyl alcohol","797541"
"1014643","cetirizine","20610"
"1014673","cetirizine","20610"
"1014674","cetirizine","20610"
"1014675","cetirizine","20610"
"1014676","cetirizine","20610"
"1014677","cetirizine","20610"
"1014678","cetirizine","20610"
"1014680","white mulberry pollen extract","852669"
"1014684","white mulberry pollen extract","852669"
"1014686","white mulberry pollen extract","852669"
"1014687","red mulberry pollen extract","852680"
"1014695","Italian rye grass pollen extract","1014340"
"1014699","longleaf pine pollen extract","1014360"
"1014703","red mulberry pollen extract","852680"
"1014718","aspen pollen extract","852339"
"1014730","bur oak pollen extract","900991"
"1014771","broad leaved paperbark pollen extract","903913"
"1014773","broad leaved paperbark pollen extract","903913"
"1014777","cultivated rye grass pollen extract","1014774"
"1020017","cetirizine","20610"
"1020021","cetirizine","20610"
"1020022","cetirizine","20610"
"1020023","cetirizine","20610"
"1020026","cetirizine","20610"
"1020035","calcipotriene","29365"
"1020039","calcipotriene","29365"
"1020064","risedronate","73056"
"1020065","risedronate","73056"
"1020066","risedronate","73056"
"1020126","loratadine","28889"
"1020138","dextromethorphan","3289"
"1020138","guaifenesin","5032"
"1020155","ethinyl estradiol","4124"
"1020155","levonorgestrel","6373"
"1020365","benzalkonium","1378"
"1020420","capsaicin","1992"
"1020420","lidocaine","6387"
"1020420","menthol","6750"
"1020420","methyl salicylate","29787"
"1020477","diphenhydramine","3498"
"1020479","diphenhydramine","3498"
"102166","glycopyrronium","1546438"
"102250","hydrocortisone","5492"
"102787","lincomycin","6398"
"103401","hydrocortisone","5492"
"103403","hydrocortisone","5492"
"103439","desonide","3254"
"103456","fluocinonide","4462"
"103457","fluocinonide","4462"
"103467","halcinonide","5084"
"103568","salicylic acid","9525"
"103570","mupirocin","42372"
"1037030","stannous fluoride","10030"
"1037034","stannous fluoride","10030"
"1037045","dabigatran etexilate","1037042"
"1037049","dabigatran etexilate","1037042"
"1037117","benzocaine","1399"
"1037117","menthol","6750"
"1037153","guaifenesin","5032"
"1037153","phenylephrine","8163"
"1037153","carbetapentane","20217"
"1037179","dabigatran etexilate","1037042"
"1037181","dabigatran etexilate","1037042"
"1037183","ethinyl estradiol","4124"
"1037183","norethindrone","7514"
"1037184","ethinyl estradiol","4124"
"1037184","norethindrone","7514"
"1037184","ferrous fumarate","24941"
"1037185","ethinyl estradiol","4124"
"1037185","norethindrone","7514"
"1037185","ferrous fumarate","24941"
"1037204","povidone-iodine","8611"
"1037205","povidone-iodine","8611"
"1037234","methenamine","6832"
"1037234","methylene blue","6878"
"1037234","phenyl salicylate","36122"
"1037234","benzoate","70589"
"1037234","hyoscyamine","153970"
"1037236","methenamine","6832"
"1037236","methylene blue","6878"
"1037236","phenyl salicylate","36122"
"1037236","benzoate","70589"
"1037236","hyoscyamine","153970"
"1037248","tolnaftate","10637"
"1037259","acetaminophen","161"
"1037259","oxycodone","7804"
"1037273","acetaminophen","161"
"1037273","salicylamide","9518"
"1037273","phenyltoloxamine","33408"
"1037274","acetaminophen","161"
"1037274","salicylamide","9518"
"1037274","phenyltoloxamine","33408"
"1037285","petrolatum","8091"
"1038558","benzalkonium","1378"
"1038787","glucose","4850"
"1038791","benzalkonium","1378"
"1038799","benzalkonium","1378"
"1038810","polysaccharide iron complex","105669"
"1038841","sodium fluoride","9873"
"1038841","potassium nitrate","34316"
"1038856","benzalkonium","1378"
"1038904","sodium fluoride","9873"
"1038929","sodium fluoride","9873"
"1038929","potassium nitrate","34316"
"1038957","lanolin","6227"
"1038959","lanolin","6227"
"1038982","salicylic acid","9525"
"103899","rifabutin","55672"
"1039012","benzalkonium","1378"
"1039026","benzethonium","1390"
"1039054","starch","10046"
"1039054","zinc oxide","11423"
"1039057","starch","10046"
"1039057","zinc oxide","11423"
"1039065","corn starch","1039062"
"1039069","corn starch","1039062"
"103918","fluvastatin","41127"
"103919","fluvastatin","41127"
"1039227","benzocaine","1399"
"1039227","menthol","6750"
"1039251","benzocaine","1399"
"1039251","dextromethorphan","3289"
"1039255","benzocaine","1399"
"1039255","dextromethorphan","3289"
"1039273","hydrocortisone","5492"
"1039279","hydrocortisone","5492"
"1039281","hydrocortisone","5492"
"1039286","dextromethorphan","3289"
"1039286","guaifenesin","5032"
"1039286","phenylephrine","8163"
"1039339","ethanol","448"
"1039349","hydrocortisone","5492"
"1039353","hydrocortisone","5492"
"103943","ciprofloxacin","2551"
"103951","tolnaftate","10637"
"1039541","pramoxine","34347"
"1039550","pramoxine","34347"
"1039556","salicylic acid","9525"
"1039558","salicylic acid","9525"
"103956","alprostadil","598"
"1039560","salicylic acid","9525"
"1039673","hexylresorcinol","5321"
"1039679","capsaicin","1992"
"103968","lamotrigine","28439"
"1039681","capsaicin","1992"
"1039731","camphor","1952"
"1039731","menthol","6750"
"1039751","hypromellose","27334"
"1039799","menthol","6750"
"1039965","sennosides, USP","36387"
"1040008","ceftaroline fosamil","1040004"
"1040012","ceftaroline fosamil","1040004"
"1040014","ceftaroline fosamil","1040004"
"1040016","ceftaroline fosamil","1040004"
"1040018","menthol","6750"
"1040025","corticotropin","376"
"1040031","lurasidone","1040028"
"1040036","lurasidone","1040028"
"1040041","lurasidone","1040028"
"1040043","lurasidone","1040028"
"1040054","dextromethorphan","3289"
"1040054","quinidine","9068"
"1040058","dextromethorphan","3289"
"1040058","quinidine","9068"
"104052","propantheline","8761"
"104062","cimetidine","2541"
"104094","famotidine","4278"
"104095","famotidine","4278"
"104098","misoprostol","42331"
"104112","mesalamine","52582"
"1041495","bimatoprost","283810"
"1041497","bimatoprost","283810"
"1041516","dimethicone","324072"
"1041518","azelate","618278"
"1041520","azelate","618278"
"1041530","acetaminophen","161"
"104155","glycerin","4910"
"1041718","lactate","114202"
"1041780","ethanol","448"
"1041798","propylene glycol","34693"
"1041800","resveratrol","1000492"
"1041814","thyroid (USP)","10572"
"1041869","benzethonium","1390"
"104206","digoxin","3407"
"104208","digoxin","3407"
"104232","spironolactone","9997"
"1042644","ethanol","448"
"1042645","petrolatum","8091"
"1042645","dimethicone","324072"
"1042663","camphor","1952"
"1042663","menthol","6750"
"1042667","camphor","1952"
"1042667","menthol","6750"
"1042675","acetaminophen","161"
"1042675","dextromethorphan","3289"
"1042675","doxylamine","3642"
"1042684","acetaminophen","161"
"1042684","dextromethorphan","3289"
"1042684","doxylamine","3642"
"1042688","acetaminophen","161"
"1042688","chlorpheniramine","2400"
"1042688","dextromethorphan","3289"
"1042688","phenylephrine","8163"
"1042692","cholecalciferol","2418"
"1042692","calcium citrate","47613"
"1042693","chlorpheniramine","2400"
"1042693","codeine","2670"
"1042693","phenylephrine","8163"
"1042695","acetaminophen","161"
"1042695","dextromethorphan","3289"
"1042695","guaifenesin","5032"
"1042836","benzalkonium","1378"
"1042836","benzocaine","1399"
"1042836","zinc chloride","39937"
"1042838","benzalkonium","1378"
"1042838","benzocaine","1399"
"1042847","benzalkonium","1378"
"1042847","benzocaine","1399"
"1043014","zinc pyrithione","39952"
"1043022","cefixime","25033"
"1043025","cefixime","25033"
"1043030","cefixime","25033"
"1043031","cefixime","25033"
"1043046","camphor","1952"
"1043046","menthol","6750"
"1043048","bismuth subsalicylate","19478"
"1043063","hydrocortisone","5492"
"1043074","hydrocortisone","5492"
"1043075","petrolatum","8091"
"1043224","menthol","6750"
"1043228","menthol","6750"
"1043232","menthol","6750"
"1043244","zinc pyrithione","39952"
"1043249","tetrahydrozoline","37935"
"1043249","zinc sulfate","39954"
"1043300","docosahexaenoate","73"
"1043300","ascorbic acid","1151"
"1043300","cholecalciferol","2418"
"1043300","folic acid","4511"
"1043300","ferrous fumarate","24941"
"1043300","tricalcium phosphate","47628"
"1043300","docusate","82003"
"1043300","alpha tocopherol","237099"
"1043300","pyridoxine","684879"
"1043397","coal tar","2635"
"1043399","capsaicin","1992"
"1043400","acetaminophen","161"
"1043400","dextromethorphan","3289"
"1043400","doxylamine","3642"
"1043451","menthol","6750"
"1043488","povidone-iodine","8611"
"1043539","capsaicin","1992"
"1043539","menthol","6750"
"1043543","dextromethorphan","3289"
"1043543","guaifenesin","5032"
"1043543","phenylephrine","8163"
"1043549","petrolatum","8091"
"1043549","zinc oxide","11423"
"1043563","metformin","6809"
"1043563","saxagliptin","857974"
"1043567","metformin","6809"
"1043567","saxagliptin","857974"
"1043570","metformin","6809"
"1043570","saxagliptin","857974"
"1043574","metformin","6809"
"1043574","saxagliptin","857974"
"1043578","metformin","6809"
"1043578","saxagliptin","857974"
"1043582","metformin","6809"
"1043582","saxagliptin","857974"
"1043605","zinc oxide","11423"
"1043605","dimethicone","324072"
"1043608","glycerin","4910"
"1043608","naphazoline","7247"
"1043608","hypromellose","27334"
"1043619","menthol","6750"
"1043619","thymol","10553"
"1043619","eucalyptol","21116"
"1043619","methyl salicylate","29787"
"1043623","menthol","6750"
"1043623","thymol","10553"
"1043623","eucalyptol","21116"
"1043623","methyl salicylate","29787"
"1043642","naphazoline","7247"
"1043658","naphazoline","7247"
"1043658","pheniramine","8132"
"104367","doxazosin","49276"
"1043675","mountain cedar pollen extract","852581"
"104368","doxazosin","49276"
"104369","doxazosin","49276"
"1043690","hydrocortisone","5492"
"1043704","naphazoline","7247"
"1043704","pheniramine","8132"
"1043708","naphazoline","7247"
"1043708","pheniramine","8132"
"1043719","mineral oil","6972"
"1043748","azelate","618278"
"104375","lisinopril","29046"
"1043753","azelate","618278"
"104376","lisinopril","29046"
"104377","lisinopril","29046"
"104378","lisinopril","29046"
"1043785","oneseed juniper pollen extract","900108"
"104384","ramipril","35296"
"104385","ramipril","35296"
"104420","felodipine","4316"
"1044207","Utah juniper pollen extract","852597"
"1044220","redberry juniper pollen extract","900113"
